time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638520713869712993,58833,0,5,10,
638520713869772983,58839,0.04529914,4.932561,10,
638520713869852979,58847,0.06404374,4.904655,10,
638520713869972983,58858,0.08525793,4.873073,10,
638520713870072975,58869,0.1166323,4.826364,10,
638520713870192978,58880,0.1470197,4.781125,10,
638520713870302977,58891,0.1789171,4.733638,10,
638520713870412973,58902,0.2087907,4.689164,10,
638520713870521816,58913,0.2399086,4.642837,10,
638520713870631758,58924,0.2709676,4.596598,10,
638520713870741762,58935,0.3017593,4.550757,10,
638520713870861769,58947,0.3326762,4.50473,10,
638520713870971760,58958,0.3647749,4.456943,10,
638520713871091756,58970,0.3951985,4.41165,10,
638520713871264265,58988,0.430301,4.359391,10,
638520713871354379,58997,0.4780828,4.288256,10,
638520713871444402,59005,0.503707,4.250108,10,
638520713871623817,59023,0.52824,4.213585,10,
638520713871673820,59029,0.5761358,4.14228,10,
638520713871743829,59035,0.5932497,4.116802,10,
638520713871853818,59047,0.6108312,4.090627,10,
638520713871963821,59057,0.6427233,4.043148,10,
638520713872073815,59069,0.6730993,3.997926,10,
638520713872183819,59080,0.7040154,3.9519,10,
638520713872299009,59091,0.7355481,3.904956,10,
638520713872409020,59102,0.7660345,3.859569,10,
638520713872519019,59113,0.7970785,3.813352,10,
638520713872629154,59124,0.8286087,3.766412,10,
638520713872739149,59135,0.8587341,3.721563,10,
638520713872859140,59147,0.8900853,3.674889,10,
638520713872969145,59158,0.9215873,3.62799,10,
638520713873079156,59169,0.9521825,3.582442,10,
638520713873189151,59180,0.9830781,3.536446,10,
638520713873299144,59191,1.013836,3.490656,10,
638520713873419162,59202,1.045333,3.443765,10,
638520713873524540,59214,1.077359,3.396086,10,
638520713873634448,59224,1.10835,3.349948,10,
638520713873751234,59236,1.138725,3.304727,10,
638520713873853044,59247,1.170046,3.258098,10,
638520713873973056,59258,1.200845,3.212247,10,
638520713874083053,59269,1.232178,3.165599,10,
638520713874193048,59280,1.263018,3.119687,10,
638520713874303051,59291,1.294187,3.073284,10,
638520713874413045,59302,1.324645,3.02794,10,
638520713874523051,59314,1.356022,2.981227,10,
638520713874633042,59325,1.387081,2.934988,10,
638520713874748727,59336,1.417657,2.889469,10,
638520713874858718,59347,1.449111,2.842642,10,
638520713874968711,59358,1.48018,2.796388,10,
638520713875078709,59369,1.510857,2.750717,10,
638520713875188716,59380,1.541217,2.705518,10,
638520713875298723,59391,1.572127,2.659502,10,
638520713875418728,59403,1.603585,2.612668,10,
638520713875531216,59414,1.635659,2.564919,10,
638520713875641106,59425,1.667368,2.517712,10,
638520713875751120,59437,1.698792,2.47093,10,
638520713875871118,59448,1.729985,2.424491,10,
638520713875981109,59459,1.761216,2.377996,10,
638520713876091099,59470,1.792747,2.331055,10,
638520713876211107,59482,1.824064,2.284431,10,
638520713876311101,59493,1.856171,2.236633,10,
638520713876433658,59504,1.886353,2.1917,10,
638520713876543650,59515,1.918149,2.144362,10,
638520713876663647,59527,1.949669,2.097438,10,
638520713876773657,59538,1.982324,2.048823,10,
638520713876883657,59549,2.012712,2.003582,10,
638520713876993662,59560,2.044469,1.956305,10,
638520713877103643,59571,2.075234,1.910502,10,
638520713877213648,59583,2.105871,1.864892,10,
638520713877323674,59594,2.137022,1.818516,10,
638520713877433641,59605,2.168286,1.771973,10,
638520713877553647,59616,2.198663,1.726749,10,
638520713877653637,59627,2.23016,1.679858,10,
638520713877773655,59638,2.260478,1.634723,10,
638520713877883652,59649,2.291614,1.588369,10,
638520713877993640,59661,2.323268,1.541244,10,
638520713878103657,59671,2.354916,1.494128,10,
638520713878213651,59682,2.384559,1.449997,10,
638520713878330709,59694,2.415525,1.403897,10,
638520713878440700,59705,2.447687,1.356016,10,
638520713878556425,59716,2.478077,1.310773,10,
638520713878666439,59727,2.509679,1.263725,10,
638520713878766543,59738,2.540281,1.218166,10,
638520713878886668,59749,2.570293,1.173487,10,
638520713878986659,59760,2.60219,1.126,10,
638520713879106660,59772,2.632275,1.081211,10,
638520713879216668,59783,2.663911,1.034114,10,
638520713879326671,59793,2.694691,0.9882894,10,
638520713879436658,59805,2.724985,0.9431891,10,
638520713879546673,59816,2.756111,0.8968511,10,
638520713879656675,59827,2.787813,0.8496542,10,
638520713879776678,59838,2.818551,0.8038936,10,
638520713879876675,59849,2.850141,0.7568641,10,
638520713879996669,59860,2.880415,0.7117934,10,
638520713880106666,59871,2.91107,0.6661568,10,
638520713880216671,59883,2.941778,0.6204395,10,
638520713880326660,59893,2.97393,0.5725741,10,
638520713880436665,59905,3.003857,0.5280199,10,
638520713880546782,59916,3.034852,0.4818759,10,
638520713880656769,59927,3.066813,0.4342942,10,
638520713880766766,59938,3.097469,0.3886547,10,
638520713880876775,59949,3.128217,0.3428783,10,
638520713880996776,59961,3.158759,0.29741,10,
638520713881106774,59971,3.190742,0.2497945,10,
638520713881216776,59982,3.220934,0.2048464,10,
638520713881326770,59994,3.251889,0.1587625,10,
638520713881435299,60005,3.282574,0.1130805,10,
638520713881545304,60016,3.313669,0.06678772,10,
638520713881655293,60027,3.344873,0.02033281,10,
638520713881775406,60038,3.375827,-0.02574921,10,
638520713881875411,60049,3.407208,-0.0724678,10,
638520713881985399,60060,3.437273,-0.1172261,10,
638520713882095416,60071,3.467969,-0.1629262,10,
638520713882215415,60082,3.499132,-0.2093201,10,
638520713882325417,60094,3.529996,-0.2552686,10,
638520713882435404,60105,3.561752,-0.3025446,10,
638520713882545400,60116,3.592554,-0.3484006,10,
638520713882655408,60127,3.623083,-0.3938503,10,
638520713882765511,60138,3.654494,-0.4406142,10,
638520713882875521,60149,3.684589,-0.4854174,10,
638520713882985531,60160,3.71623,-0.5325236,10,
638520713883105517,60171,3.746951,-0.5782595,10,
638520713883215520,60182,3.778429,-0.6251211,10,
638520713883325517,60194,3.809098,-0.6707797,10,
638520713883435510,60205,3.840065,-0.7168813,10,
638520713883545530,60216,3.87143,-0.763577,10,
638520713883655513,60227,3.902998,-0.8105741,10,
638520713883765636,60238,3.932985,-0.855217,10,
638520713883882965,60249,3.963896,-0.9012356,10,
638520713883992970,60260,3.994719,-0.9471221,10,
638520713884102961,60271,4.025883,-0.9935179,10,
638520713884212971,60282,4.056624,-1.039283,10,
638520713884322963,60293,4.087947,-1.085915,10,
