time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638520714008094377,72670,0,5,10,
638520714008154389,72677,-0.04954455,4.934495,10,
638520714008234378,72685,-0.06833621,4.90965,10,
638520714008354379,72697,-0.0935487,4.876315,10,
638520714008464373,72707,-0.1289905,4.829456,10,
638520714008574366,72718,-0.1607185,4.787507,10,
638520714008684382,72730,-0.1945829,4.742733,10,
638520714008799528,72741,-0.2280597,4.698472,10,
638520714008904732,72752,-0.2611679,4.654698,10,
638520714009024741,72763,-0.2954178,4.609415,10,
638520714009134742,72774,-0.3293606,4.564537,10,
638520714009234736,72785,-0.3621599,4.521172,10,
638520714009354740,72797,-0.3951062,4.477612,10,
638520714009474733,72809,-0.4297189,4.431849,10,
638520714009584742,72819,-0.4672832,4.382184,10,
638520714009684746,72830,-0.4987126,4.340629,10,
638520714009794739,72840,-0.5303169,4.298843,10,
638520714009904850,72852,-0.5625451,4.256233,10,
638520714010014859,72863,-0.5960252,4.211967,10,
638520714010124849,72874,-0.6302283,4.166746,10,
638520714010234849,72885,-0.6631932,4.123162,10,
638520714010344861,72896,-0.6967433,4.078804,10,
638520714010464856,72907,-0.7300078,4.034823,10,
638520714010574851,72919,-0.7636366,3.990361,10,
638520714010674845,72929,-0.7976901,3.945337,10,
638520714010794978,72941,-0.8305317,3.901916,10,
638520714010915082,72953,-0.8645366,3.856956,10,
638520714011015080,72963,-0.9005838,3.809297,10,
638520714011135094,72974,-0.9314857,3.76844,10,
638520714011245108,72985,-0.9655123,3.723452,10,
638520714011355099,72996,-0.9990259,3.679142,10,
638520714011465085,73007,-1.032194,3.635289,10,
638520714011575085,73018,-1.065442,3.59133,10,
638520714011685088,73029,-1.098824,3.547194,10,
638520714011795198,73041,-1.132778,3.502302,10,
638520714011915289,73052,-1.166305,3.457975,10,
638520714012025290,73064,-1.200998,3.412105,10,
638520714012135294,73075,-1.235336,3.366706,10,
638520714012245292,73086,-1.26874,3.32254,10,
638520714012365291,73097,-1.302849,3.277444,10,
638520714012475285,73109,-1.337132,3.232116,10,
638520714012585285,73120,-1.371305,3.186935,10,
638520714012705292,73131,-1.404489,3.14306,10,
638520714012815286,73142,-1.43968,3.096534,10,
638520714012928108,73154,-1.472523,3.05311,10,
638520714013037933,73165,-1.506698,3.007926,10,
638520714013147927,73176,-1.541406,2.962037,10,
638520714013267932,73188,-1.574746,2.917957,10,
638520714013377930,73199,-1.609162,2.872454,10,
638520714013487933,73210,-1.642687,2.828129,10,
638520714013597925,73221,-1.676244,2.783761,10,
638520714013707937,73232,-1.709622,2.739631,10,
638520714013825124,73243,-1.743279,2.695132,10,
638520714013934858,73254,-1.777268,2.650193,10,
638520714014054874,73266,-1.810832,2.605817,10,
638520714014154874,73277,-1.84654,2.558605,10,
638520714014264863,73288,-1.877956,2.517068,10,
638520714014374878,73299,-1.911921,2.472162,10,
638520714014484849,73310,-1.945483,2.427788,10,
638520714014604870,73321,-1.977705,2.385185,10,
638520714014714878,73333,-2.012274,2.339481,10,
638520714014824361,73343,-2.04726,2.293224,10,
638520714014934472,73354,-2.07848,2.251947,10,
638520714015044463,73366,-2.112135,2.20745,10,
638520714015154463,73376,-2.146826,2.161583,10,
638520714015264472,73388,-2.178282,2.119994,10,
638520714015385561,73399,-2.212438,2.074835,10,
638520714015484463,73410,-2.247717,2.028191,10,
638520714015594478,73421,-2.279507,1.986159,10,
638520714015704471,73432,-2.312901,1.942008,10,
