time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638524991312541084,356091,0,5,10,
638524991312601075,356097,0.07232158,4.960723,10,
638524991312691080,356105,0.09803224,4.946761,10,
638524991312801083,356116,0.1347144,4.926839,10,
638524991312911181,356128,0.1833583,4.900422,10,
638524991313021181,356139,0.232091,4.873956,10,
638524991313131274,356150,0.2807231,4.847545,10,
638524991313241285,356161,0.3296474,4.820975,10,
638524991313351274,356172,0.3786613,4.794356,10,
638524991313461291,356183,0.4271506,4.768023,10,
638524991313572879,356194,0.4768201,4.741048,10,
638524991313688782,356206,0.5257224,4.71449,10,
638524991313798510,356216,0.5749807,4.687739,10,
638524991313908599,356228,0.6223715,4.662003,10,
638524991314018592,356239,0.6715941,4.635271,10,
638524991314128603,356250,0.7204341,4.608747,10,
638524991314238598,356261,0.7690864,4.582325,10,
638524991314348606,356272,0.817493,4.556036,10,
638524991314458592,356283,0.8664599,4.529443,10,
638524991314578596,356294,0.9151878,4.50298,10,
638524991314688596,356305,0.9637759,4.476593,10,
638524991314798597,356317,1.013304,4.449696,10,
638524991314908700,356327,1.063003,4.422705,10,
638524991315018698,356338,1.110051,4.397154,10,
638524991315128697,356350,1.159152,4.370488,10,
638524991315238702,356361,1.20781,4.344063,10,
638524991315348711,356372,1.256789,4.317464,10,
638524991315458700,356383,1.305801,4.290846,10,
638524991315568695,356394,1.354443,4.26443,10,
638524991315688703,356405,1.40301,4.238054,10,
638524991315798702,356416,1.452502,4.211176,10,
638524991315908790,356427,1.500801,4.184946,10,
638524991316018793,356439,1.549208,4.158657,10,
638524991316128784,356450,1.598682,4.131789,10,
638524991316248796,356461,1.647796,4.105116,10,
638524991316358801,356472,1.69765,4.078041,10,
638524991316468788,356484,1.746925,4.051281,10,
638524991316578788,356495,1.79659,4.024309,10,
638524991316698786,356506,1.846271,3.997328,10,
638524991316808785,356517,1.895894,3.970379,10,
638524991316918900,356529,1.945637,3.943365,10,
638524991317028894,356540,1.996012,3.916007,10,
638524991317148903,356551,2.044573,3.889634,10,
638524991317258908,356563,2.094063,3.862757,10,
638524991317368905,356574,2.145023,3.835082,10,
638524991317488895,356585,2.193561,3.808722,10,
638524991317598908,356597,2.243093,3.781822,10,
638524991317708905,356608,2.292863,3.754793,10,
638524991317828899,356619,2.342577,3.727795,10,
638524991317938989,356630,2.391785,3.701071,10,
638524991318048998,356642,2.441336,3.67416,10,
638524991318159103,356653,2.490764,3.647317,10,
638524991318269102,356664,2.539335,3.620939,10,
638524991318379097,356675,2.58736,3.594857,10,
638524991318489095,356686,2.636186,3.568341,10,
638524991318599102,356697,2.68511,3.541772,10,
638524991318709190,356708,2.733832,3.515312,10,
638524991318829195,356719,2.782507,3.488878,10,
638524991318939193,356730,2.831642,3.462193,10,
638524991319049184,356741,2.880563,3.435626,10,
638524991319169196,356753,2.929,3.40932,10,
638524991319269184,356764,2.980388,3.381412,10,
638524991319389202,356775,3.027947,3.355584,10,
638524991319499197,356786,3.077549,3.328646,10,
638524991319599188,356797,3.12541,3.302654,10,
638524991319709191,356808,3.173245,3.276675,10,
638524991319829190,356819,3.221921,3.250241,10,
638524991319939190,356830,3.271561,3.223282,10,
638524991320049188,356841,3.319934,3.197011,10,
638524991320159184,356852,3.36813,3.170837,10,
638524991320269185,356864,3.416653,3.144485,10,
638524991320379188,356875,3.46582,3.117784,10,
638524991320489190,356886,3.514994,3.091079,10,
638524991320599300,356897,3.563262,3.064866,10,
638524991320709304,356908,3.613192,3.03775,10,
638524991320829306,356919,3.661259,3.011645,10,
638524991320939307,356930,3.71028,2.985023,10,
638524991321049322,356942,3.758959,2.958586,10,
638524991321159305,356952,3.808317,2.931781,10,
638524991321266376,356964,3.856342,2.905699,10,
638524991321386367,356975,3.905604,2.878946,10,
638524991321496367,356986,3.954817,2.85222,10,
638524991321606365,356997,4.003407,2.825832,10,
638524991321716364,357008,4.051681,2.799615,10,
638524991321826374,357019,4.100277,2.773224,10,
638524991321936362,357030,4.14918,2.746665,10,
638524991322046363,357041,4.19804,2.72013,10,
638524991322156371,357052,4.24679,2.693655,10,
638524991322266364,357063,4.295754,2.667064,10,
638524991322376369,357075,4.344123,2.640795,10,
638524991322486375,357086,4.393775,2.613831,10,
638524991322606358,357097,4.441858,2.587718,10,
638524991322716371,357108,4.491151,2.560948,10,
638524991322826363,357119,4.539483,2.5347,10,
638524991322936453,357130,4.587989,2.508357,10,
638524991323046454,357141,4.637223,2.481619,10,
638524991323151618,357152,4.685603,2.455345,10,
638524991323271625,357163,4.734582,2.428745,10,
638524991323381629,357175,4.783516,2.40217,10,
638524991323491620,357186,4.83243,2.375606,10,
638524991323601625,357197,4.880941,2.34926,10,
638524991323711632,357208,4.931126,2.322006,10,
638524991323821622,357219,4.978931,2.296044,10,
638524991323937026,357230,5.027085,2.269892,10,
638524991324047032,357241,5.076227,2.243205,10,
638524991324157029,357252,5.12544,2.216478,10,
638524991324267030,357263,5.173501,2.190377,10,
638524991324377021,357275,5.222499,2.163767,10,
638524991324487022,357285,5.271598,2.137103,10,
638524991324597028,357297,5.319836,2.110906,10,
638524991324707028,357308,5.369162,2.084118,10,
638524991324827032,357319,5.41807,2.057557,10,
638524991324937031,357330,5.466688,2.031153,10,
638524991325047028,357341,5.515473,2.004659,10,
638524991325157022,357352,5.564432,1.978071,10,
638524991325267020,357363,5.612717,1.951849,10,
638524991325377027,357375,5.661793,1.925196,10,
638524991325487024,357386,5.712175,1.897834,10,
638524991325597022,357397,5.75952,1.872123,10,
638524991325717023,357408,5.808646,1.845443,10,
638524991325817032,357419,5.85763,1.818841,10,
638524991325937137,357430,5.905596,1.792792,10,
638524991326047140,357441,5.95477,1.766087,10,
638524991326157128,357452,6.003348,1.739704,10,
638524991326267240,357463,6.052032,1.713265,10,
638524991326377242,357474,6.10092,1.686715,10,
638524991326487246,357485,6.150088,1.660013,10,
638524991326597254,357497,6.198421,1.633764,10,
638524991326707252,357508,6.247839,1.606926,10,
638524991326817243,357519,6.296577,1.580458,10,
