time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638524921704975068,194349,-12.18956,-3.29451,20,-27.20399,3.019253,20,22.79005,-15.70104,20,
638524921705145081,194366,-12.16033,-3.28661,19.95204,-27.13876,3.012013,19.95204,22.73541,-15.66339,19.95204,
638524921705225079,194374,-12.12827,-3.277944,19.89944,-27.06721,3.004071,19.89944,22.67546,-15.62209,19.89944,
638524921705335170,194386,-12.11391,-3.274064,19.87588,-27.03517,3.000515,19.87588,22.64862,-15.6036,19.87588,
638524921705455166,194397,-12.09299,-3.268409,19.84155,-26.98847,2.995333,19.84155,22.6095,-15.57665,19.84155,
638524921705565171,194408,-12.07279,-3.262949,19.8084,-26.94338,2.990328,19.8084,22.57173,-15.55063,19.8084,
638524921705675168,194419,-12.05217,-3.257377,19.77458,-26.89738,2.985223,19.77458,22.53319,-15.52408,19.77458,
638524921705785163,194430,-12.03222,-3.251984,19.74184,-26.85285,2.98028,19.74184,22.49588,-15.49837,19.74184,
638524921705895163,194441,-12.0119,-3.246493,19.70851,-26.8075,2.975248,19.70851,22.4579,-15.4722,19.70851,
638524921706005173,194452,-11.99173,-3.241042,19.67541,-26.76249,2.970252,19.67541,22.42019,-15.44622,19.67541,
638524921706115169,194463,-11.97082,-3.235391,19.64111,-26.71583,2.965073,19.64111,22.3811,-15.41929,19.64111,
638524921706225168,194474,-11.95108,-3.230055,19.60871,-26.67177,2.960183,19.60871,22.34418,-15.39386,19.60871,
638524921706335276,194486,-11.93044,-3.224477,19.57485,-26.62571,2.955071,19.57485,22.3056,-15.36728,19.57485,
638524921706445280,194497,-11.91034,-3.219043,19.54186,-26.58084,2.950091,19.54186,22.26801,-15.34138,19.54186,
638524921706565274,194508,-11.89001,-3.213549,19.50851,-26.53547,2.945056,19.50851,22.23,-15.3152,19.50851,
638524921706715275,194523,-11.86954,-3.208016,19.47492,-26.48979,2.939986,19.47492,22.19173,-15.28883,19.47492,
638524921706785270,194530,-11.84138,-3.200404,19.42871,-26.42693,2.93301,19.42871,22.13907,-15.25255,19.42871,
638524921706895263,194541,-11.82942,-3.197173,19.4091,-26.40025,2.930048,19.4091,22.11672,-15.23715,19.4091,
638524921707005267,194552,-11.80888,-3.191623,19.37541,-26.35442,2.924962,19.37541,22.07833,-15.2107,19.37541,
638524921707115264,194563,-11.78863,-3.186148,19.34217,-26.30921,2.919945,19.34217,22.04045,-15.18461,19.34217,
638524921707225270,194574,-11.76836,-3.18067,19.30891,-26.26398,2.914924,19.30891,22.00256,-15.1585,19.30891,
638524921707345391,194586,-11.74768,-3.175081,19.27498,-26.21782,2.909802,19.27498,21.9639,-15.13186,19.27498,
638524921707445368,194597,-11.72676,-3.169427,19.24066,-26.17114,2.904621,19.24066,21.92479,-15.10492,19.24066,
638524921707555373,194608,-11.7074,-3.164193,19.20889,-26.12792,2.899824,19.20889,21.88858,-15.07998,19.20889,
638524921707675383,194619,-11.68716,-3.158723,19.17568,-26.08275,2.894811,19.17568,21.85074,-15.05391,19.17568,
638524921707785377,194630,-11.66639,-3.153111,19.14161,-26.03642,2.889668,19.14161,21.81193,-15.02716,19.14161,
638524921707895367,194641,-11.64653,-3.147742,19.10902,-25.99208,2.884748,19.10902,21.77478,-15.00157,19.10902,
638524921708005363,194652,-11.62633,-3.142284,19.07588,-25.94701,2.879745,19.07588,21.73702,-14.97556,19.07588,
638524921708115377,194663,-11.60588,-3.136757,19.04233,-25.90137,2.87468,19.04233,21.69879,-14.94922,19.04233,
638524921708275376,194679,-11.58545,-3.131236,19.00881,-25.85578,2.86962,19.00881,21.6606,-14.92291,19.00881,
638524921708335511,194685,-11.55686,-3.123507,18.96189,-25.79196,2.862537,18.96189,21.60713,-14.88607,18.96189,
638524921708445534,194696,-11.54521,-3.120358,18.94278,-25.76596,2.859651,18.94278,21.58535,-14.87106,18.94278,
638524921708555499,194708,-11.52463,-3.114795,18.90901,-25.72002,2.854553,18.90901,21.54687,-14.84455,18.90901,
638524921708675511,194719,-11.50435,-3.109316,18.87574,-25.67478,2.849532,18.87574,21.50896,-14.81844,18.87574,
638524921708785502,194730,-11.48358,-3.103702,18.84167,-25.62843,2.844387,18.84167,21.47013,-14.79169,18.84167,
638524921708895506,194741,-11.46277,-3.098077,18.80751,-25.58198,2.839231,18.80751,21.43122,-14.76488,18.80751,
638524921709005498,194752,-11.44278,-3.092675,18.77472,-25.53737,2.834281,18.77472,21.39385,-14.73913,18.77472,
638524921709115502,194763,-11.42246,-3.087183,18.74138,-25.49203,2.829248,18.74138,21.35586,-14.71296,18.74138,
638524921709225516,194775,-11.40206,-3.081668,18.7079,-25.44649,2.824194,18.7079,21.31771,-14.68668,18.7079,
638524921709335596,194786,-11.38175,-3.076181,18.67459,-25.40118,2.819165,18.67459,21.27975,-14.66053,18.67459,
638524921709455599,194797,-11.3614,-3.070679,18.64119,-25.35574,2.814123,18.64119,21.24169,-14.6343,18.64119,
