time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638524921097585640,133610,0,5,10,
638524921097645633,133616,-0.07116153,5.039734,10,
638524921097715638,133623,-0.09808885,5.054769,10,
638524921097825646,133635,-0.1296804,5.072409,10,
638524921097935650,133646,-0.1791341,5.100022,10,
638524921098045629,133657,-0.2278168,5.127204,10,
638524921098165637,133668,-0.2757923,5.153992,10,
638524921098275642,133679,-0.3255302,5.181764,10,
638524921098385639,133690,-0.3731438,5.208349,10,
638524921098495639,133701,-0.4207129,5.23491,10,
638524921098605635,133712,-0.4695183,5.262161,10,
638524921098715642,133723,-0.5180766,5.289274,10,
638524921098825638,133734,-0.5665236,5.316325,10,
638524921098935647,133746,-0.6147969,5.343279,10,
638524921099045638,133757,-0.663556,5.370504,10,
638524921099155634,133768,-0.7119197,5.397508,10,
638524921099275637,133779,-0.7603274,5.424537,10,
638524921099385635,133790,-0.8092035,5.451828,10,
638524921099494382,133801,-0.8573318,5.478701,10,
638524921099604370,133812,-0.9059857,5.505867,10,
638524921099714376,133823,-0.9543747,5.532886,10,
638524921099824392,133834,-1.002874,5.559966,10,
638524921099934371,133845,-1.051592,5.587168,10,
638524921100044376,133857,-1.099998,5.614196,10,
638524921100164390,133868,-1.148531,5.641295,10,
638524921100274382,133879,-1.197686,5.668742,10,
638524921100384383,133890,-1.245152,5.695245,10,
638524921100498149,133901,-1.293587,5.72229,10,
638524921100608147,133912,-1.342899,5.749824,10,
638524921100718146,133923,-1.390724,5.776527,10,
638524921100828151,133934,-1.438867,5.803408,10,
638524921100938142,133946,-1.488056,5.830873,10,
638524921101043308,133956,-1.536488,5.857916,10,
638524921101163304,133968,-1.584741,5.884859,10,
638524921101273299,133979,-1.633782,5.912241,10,
638524921101383303,133990,-1.68367,5.940096,10,
638524921101503306,134002,-1.732738,5.967494,10,
638524921101613314,134013,-1.781725,5.994846,10,
638524921101723315,134024,-1.83172,6.022762,10,
638524921101843310,134036,-1.881097,6.050332,10,
638524921101953306,134047,-1.930014,6.077645,10,
638524921102065851,134058,-1.979263,6.105144,10,
638524921102175849,134069,-2.028847,6.132829,10,
638524921102295870,134081,-2.077859,6.160196,10,
638524921102405855,134092,-2.127625,6.187983,10,
638524921102515996,134104,-2.176512,6.21528,10,
638524921102625979,134115,-2.226516,6.2432,10,
638524921102745980,134126,-2.275151,6.270357,10,
638524921102855982,134137,-2.32467,6.298006,10,
638524921102965979,134149,-2.374488,6.325822,10,
638524921103086099,134160,-2.423459,6.353165,10,
638524921103196100,134171,-2.472748,6.380686,10,
638524921103306122,134183,-2.521096,6.407682,10,
638524921103421438,134193,-2.570988,6.43554,10,
638524921103521433,134204,-2.618564,6.462104,10,
638524921103641431,134216,-2.666635,6.488945,10,
638524921103751439,134227,-2.715908,6.516457,10,
638524921103861436,134238,-2.76349,6.543025,10,
638524921103971432,134249,-2.811507,6.569836,10,
638524921104081443,134260,-2.86114,6.597549,10,
638524921104191434,134271,-2.90861,6.624054,10,
638524921104301436,134282,-2.957605,6.651411,10,
638524921104421883,134293,-3.006528,6.678728,10,
638524921104531983,134304,-3.055555,6.706103,10,
638524921104641985,134316,-3.103325,6.732775,10,
638524921104752000,134327,-3.154459,6.761327,10,
638524921104861982,134338,-3.200714,6.787154,10,
638524921104971982,134349,-3.249103,6.814172,10,
638524921105081964,134360,-3.298618,6.841819,10,
638524921105191970,134371,-3.345762,6.868143,10,
638524921105302003,134382,-3.394485,6.895348,10,
638524921105422518,134394,-3.442979,6.922425,10,
638524921105522504,134404,-3.493324,6.950535,10,
638524921105642512,134416,-3.539853,6.976515,10,
638524921105752510,134427,-3.58848,7.003666,10,
638524921105862509,134438,-3.63679,7.030641,10,
638524921105972530,134449,-3.687261,7.058822,10,
638524921106082504,134460,-3.735554,7.085786,10,
638524921106192513,134471,-3.782099,7.111775,10,
638524921106302518,134482,-3.830829,7.138984,10,
638524921106422635,134494,-3.880434,7.166682,10,
638524921106522631,134504,-3.928993,7.193796,10,
638524921106632630,134515,-3.975472,7.219748,10,
638524921106752632,134527,-4.023998,7.246842,10,
638524921106862641,134538,-4.073081,7.274249,10,
638524921106972629,134549,-4.121362,7.301207,10,
638524921107082755,134560,-4.169381,7.328019,10,
638524921107192747,134571,-4.218048,7.355192,10,
638524921107302766,134582,-4.266343,7.382158,10,
638524921107412891,134593,-4.314806,7.409218,10,
638524921107522876,134604,-4.365072,7.437284,10,
638524921107632888,134615,-4.412223,7.463612,10,
638524921107752880,134627,-4.460853,7.490765,10,
638524921107852877,134637,-4.511052,7.518794,10,
638524921107972877,134649,-4.55727,7.5446,10,
638524921108082875,134660,-4.605338,7.57144,10,
638524921108192879,134671,-4.654117,7.598676,10,
638524921108312878,134683,-4.702819,7.62587,10,
638524921108412464,134693,-4.754359,7.654648,10,
638524921108522339,134704,-4.800061,7.680166,10,
638524921108632336,134715,-4.848187,7.707038,10,
638524921108742349,134726,-4.896564,7.73405,10,
638524921108862348,134737,-4.945499,7.761373,10,
638524921108972350,134749,-4.993845,7.788367,10,
638524921109082341,134760,-5.042558,7.815567,10,
638524921109192340,134771,-5.090572,7.842376,10,
638524921109302359,134782,-5.138637,7.869214,10,
638524921109412066,134793,-5.187209,7.896335,10,
638524921109521983,134804,-5.23633,7.923762,10,
638524921109631983,134815,-5.284489,7.950652,10,
638524921109741991,134826,-5.333168,7.977832,10,
638524921109851987,134837,-5.381737,8.004951,10,
638524921109971998,134849,-5.430297,8.032065,10,
638524921110081992,134860,-5.479986,8.05981,10,
638524921110191981,134871,-5.526971,8.086044,10,
638524921110301992,134882,-5.575132,8.112936,10,
638524921110411730,134893,-5.623567,8.13998,10,
638524921110521573,134904,-5.672626,8.167373,10,
638524921110631557,134915,-5.722432,8.195182,10,
638524921110751561,134927,-5.769696,8.221572,10,
638524921110861556,134937,-5.81923,8.249229,10,
638524921110971576,134948,-5.866961,8.275881,10,
638524921111081562,134960,-5.914939,8.30267,10,
638524921111191581,134971,-5.963881,8.329997,10,
638524921111301561,134982,-6.012868,8.357349,10,
638524921111415469,134993,-6.060594,8.383998,10,
638524921111525468,135004,-6.11066,8.411953,10,
638524921111635477,135015,-6.15722,8.43795,10,
638524921111745467,135026,-6.205649,8.464991,10,
638524921111855472,135037,-6.254349,8.492183,10,
638524921111965471,135048,-6.302766,8.519217,10,
638524921112079369,135060,-6.351013,8.546156,10,
638524921112189381,135071,-6.399779,8.573385,10,
638524921112299371,135082,-6.448202,8.600423,10,
638524921112414552,135093,-6.496599,8.627446,10,
638524921112524543,135104,-6.545016,8.654481,10,
638524921112634557,135115,-6.593387,8.681489,10,
638524921112744552,135126,-6.642606,8.708971,10,
638524921112854537,135137,-6.690807,8.735885,10,
638524921112964543,135148,-6.738999,8.762794,10,
638524921113080137,135159,-6.787322,8.789775,10,
638524921113190142,135171,-6.836109,8.817016,10,
638524921113300132,135182,-6.884749,8.844174,10,
638524921113414536,135193,-6.933085,8.871163,10,
638524921113524525,135204,-6.982279,8.89863,10,
638524921113634526,135215,-6.98471,8.899988,10,
638524921113744535,135226,-6.934028,8.878152,10,
638524921113854517,135237,-6.882653,8.856018,10,
638524921113964524,135248,-6.83209,8.834233,10,
638524921114084656,135260,-6.781192,8.812304,10,
638524921114184656,135271,-6.728209,8.789477,10,
638524921114304664,135282,-6.678637,8.76812,10,
638524921114414283,135293,-6.62773,8.746187,10,
638524921114525215,135304,-6.576299,8.724029,10,
638524921114635217,135315,-6.525986,8.702352,10,
638524921114745222,135326,-6.475037,8.680401,10,
638524921114855222,135337,-6.423697,8.658281,10,
638524921114965222,135348,-6.372437,8.636196,10,
638524921115075314,135359,-6.322089,8.614505,10,
638524921115185309,135370,-6.271109,8.592541,10,
638524921115295327,135382,-6.220132,8.570579,10,
638524921115413678,135393,-6.168895,8.548504,10,
638524921115523514,135404,-6.117977,8.526567,10,
638524921115633521,135415,-6.06706,8.504629,10,
638524921115743516,135426,-6.016128,8.482685,10,
638524921115853512,135437,-5.964788,8.460566,10,
638524921115963511,135448,-5.914201,8.438771,10,
638524921116073509,135459,-5.862706,8.416585,10,
638524921116193519,135471,-5.811835,8.394668,10,
638524921116293510,135482,-5.759123,8.371957,10,
638524921116410779,135493,-5.709797,8.350705,10,
638524921116520774,135504,-5.657761,8.328286,10,
638524921116630783,135515,-5.607783,8.306753,10,
638524921116740777,135526,-5.557119,8.284925,10,
638524921116850766,135537,-5.505535,8.262701,10,
638524921116960770,135548,-5.454925,8.240896,10,
638524921117076466,135559,-5.403899,8.218912,10,
638524921117186464,135570,-5.352938,8.196956,10,
638524921117296465,135581,-5.301696,8.174878,10,
638524921117406469,135593,-5.251264,8.15315,10,
638524921117516458,135604,-5.199246,8.130738,10,
638524921117636461,135615,-5.14921,8.10918,10,
638524921117746474,135626,-5.096185,8.086335,10,
638524921117856468,135637,-5.04607,8.064744,10,
638524921117966469,135648,-4.995107,8.042787,10,
638524921118076609,135659,-4.944244,8.020873,10,
638524921118186613,135670,-4.89309,7.998834,10,
638524921118296625,135682,-4.842559,7.977063,10,
638524921118406621,135693,-4.791806,7.955197,10,
638524921118516616,135704,-4.740694,7.933176,10,
638524921118626608,135715,-4.689006,7.910907,10,
638524921118736612,135726,-4.639,7.889362,10,
638524921118846647,135737,-4.588233,7.867489,10,
638524921118956603,135748,-4.537304,7.845547,10,
638524921119076737,135759,-4.486516,7.823666,10,
638524921119186736,135770,-4.43515,7.801536,10,
638524921119296731,135782,-4.383796,7.77941,10,
638524921119406731,135793,-4.333038,7.757542,10,
638524921119523890,135804,-4.281568,7.735366,10,
638524921119633883,135815,-4.23082,7.713502,10,
638524921119743905,135826,-4.179866,7.691549,10,
638524921119853873,135837,-4.128702,7.669506,10,
638524921119963882,135848,-4.077963,7.647645,10,
638524921120079099,135859,-4.026603,7.625517,10,
638524921120189111,135870,-3.975073,7.603316,10,
638524921120299100,135881,-3.924012,7.581317,10,
638524921120409102,135893,-3.874037,7.559786,10,
638524921120519098,135904,-3.823012,7.537803,10,
638524921120629100,135915,-3.771944,7.5158,10,
638524921120739107,135926,-3.719344,7.493138,10,
638524921120849107,135937,-3.668898,7.471405,10,
638524921120959097,135948,-3.617831,7.449403,10,
638524921121079211,135960,-3.568069,7.427963,10,
638524921121179209,135970,-3.516184,7.40561,10,
638524921121299222,135981,-3.46602,7.383997,10,
638524921121409205,135993,-3.414954,7.361996,10,
638524921121519210,136004,-3.363598,7.339869,10,
638524921121629210,136014,-3.311975,7.317628,10,
638524921121739204,136026,-3.262317,7.296234,10,
638524921121849200,136037,-3.210986,7.274118,10,
638524921121959212,136048,-3.159853,7.252088,10,
638524921122075374,136059,-3.109278,7.230299,10,
638524921122185373,136070,-3.058408,7.208382,10,
638524921122295381,136081,-3.00681,7.186152,10,
638524921122405378,136092,-2.956228,7.164359,10,
638524921122515351,136103,-2.905396,7.142458,10,
638524921122625340,136115,-2.853848,7.120249,10,
638524921122745336,136126,-2.802765,7.098241,10,
638524921122855338,136137,-2.75073,7.075822,10,
638524921122955327,136148,-2.700099,7.054008,10,
638524921123075330,136159,-2.649894,7.032378,10,
638524921123185331,136170,-2.599067,7.010479,10,
638524921123295329,136181,-2.548129,6.988533,10,
638524921123411385,136193,-2.497257,6.966616,10,
638524921123521380,136204,-2.444855,6.944039,10,
638524921123621372,136214,-2.394293,6.922255,10,
638524921123741380,136226,-2.343638,6.900431,10,
638524921123851373,136237,-2.292986,6.878608,10,
638524921123961380,136248,-2.241919,6.856606,10,
638524921124071370,136259,-2.191146,6.834731,10,
638524921124181379,136270,-2.139262,6.812377,10,
638524921124291379,136281,-2.089575,6.79097,10,
638524921124411385,136292,-2.038247,6.768856,10,
638524921124521388,136303,-1.986346,6.746495,10,
638524921124631376,136315,-1.935957,6.724785,10,
638524921124741391,136326,-1.884601,6.702659,10,
638524921124851371,136337,-1.834136,6.680917,10,
638524921124961384,136348,-1.783132,6.658942,10,
638524921125071373,136359,-1.731531,6.636711,10,
638524921125181375,136370,-1.680746,6.61483,10,
638524921125291371,136381,-1.630322,6.593106,10,
638524921125409313,136392,-1.579109,6.571041,10,
638524921125519312,136403,-1.528333,6.549165,10,
638524921125629316,136415,-1.476811,6.526967,10,
638524921125739313,136425,-1.424748,6.504537,10,
638524921125849305,136437,-1.375042,6.483121,10,
638524921125959313,136448,-1.323966,6.461115,10,
638524921126069311,136459,-1.272116,6.438776,10,
638524921126179312,136470,-1.222076,6.417217,10,
638524921126299311,136482,-1.170558,6.395021,10,
638524921126405782,136493,-1.117476,6.372151,10,
