time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638525001655927377,1390430,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.58334,-6.977815,19.10431,1.279486,14.16612,19.10431,-22.44765,-30.69036,19.10431,
638525001656047358,1390441,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.54235,-6.965687,19.07111,1.277262,14.1415,19.07111,-22.40863,-30.63701,19.07111,
638525001656147357,1390452,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.50036,-6.953264,19.0371,1.274984,14.11628,19.0371,-22.36867,-30.58237,19.0371,
638525001656267361,1390463,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.46026,-6.941401,19.00462,1.272809,14.0922,19.00462,-22.33051,-30.5302,19.00462,
638525001656377353,1390474,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.41866,-6.929091,18.97091,1.270551,14.0672,18.97091,-22.2909,-30.47606,18.97091,
638525001656487366,1390485,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.37815,-6.917105,18.9381,1.268353,14.04287,18.9381,-22.25235,-30.42334,18.9381,
638525001656597353,1390496,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.33659,-6.904808,18.90443,1.266098,14.01791,18.90443,-22.21279,-30.36925,18.90443,
638525001656707349,1390508,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.29497,-6.892495,18.87072,1.263841,13.99291,18.87072,-22.17317,-30.31509,18.87072,
638525001656817353,1390519,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.25258,-6.879951,18.83637,1.26154,13.96744,18.83637,-22.13282,-30.25992,18.83637,
638525001656937361,1390530,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.21189,-6.867914,18.80342,1.259334,13.94301,18.80342,-22.0941,-30.20698,18.80342,
638525001657047372,1390542,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.17001,-6.85552,18.76949,1.257061,13.91784,18.76949,-22.05423,-30.15247,18.76949,
638525001657157348,1390553,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.12748,-6.842938,18.73504,1.254754,13.8923,18.73504,-22.01375,-30.09713,18.73504,
638525001657267351,1390564,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.08681,-6.830905,18.70209,1.252547,13.86787,18.70209,-21.97504,-30.0442,18.70209,
638525001657387370,1390575,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.04502,-6.81854,18.66824,1.25028,13.84277,18.66824,-21.93526,-29.98982,18.66824,
638525001657497350,1390586,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.00343,-6.806234,18.63455,1.248024,13.81779,18.63455,-21.89568,-29.9357,18.63455,
