time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638549105330029600,1425805,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.7958,-16.92419,20,29.04939,22.59448,20,18.26284,4.808437,20,
638549105330089589,1425811,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.71894,-16.88053,19.94841,28.97445,22.53619,19.94841,18.21573,4.796033,19.94841,
638549105330164839,1425818,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.69022,-16.86422,19.92913,28.94646,22.51442,19.92913,18.19813,4.791399,19.92913,
638549105330279812,1425829,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.66007,-16.84709,19.90889,28.91707,22.49155,19.90889,18.17965,4.786533,19.90889,
638549105330380035,1425840,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.60917,-16.81818,19.87473,28.86744,22.45296,19.87473,18.14845,4.77832,19.87473,
638549105330490033,1425851,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.56069,-16.79064,19.84218,28.82017,22.41619,19.84218,18.11873,4.770495,19.84218,
638549105330610037,1425863,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.51123,-16.76255,19.80899,28.77196,22.37869,19.80899,18.08842,4.762515,19.80899,
638549105330720030,1425873,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.46026,-16.7336,19.77477,28.72226,22.34003,19.77477,18.05718,4.754288,19.77477,
638549105330830036,1425885,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.41203,-16.7062,19.7424,28.67523,22.30346,19.7424,18.02761,4.746504,19.7424,
638549105330940032,1425896,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.36134,-16.67742,19.70838,28.62582,22.26502,19.70838,17.99655,4.738325,19.70838,
638549105331050035,1425907,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.31148,-16.6491,19.67491,28.57722,22.22722,19.67491,17.96599,4.730279,19.67491,
638549105331165289,1425918,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.26324,-16.6217,19.64253,28.53019,22.19064,19.64253,17.93642,4.722494,19.64253,
638549105331275126,1425929,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.21176,-16.59245,19.60797,28.47999,22.1516,19.60797,17.90487,4.714186,19.60797,
638549105331395124,1425941,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.16245,-16.56445,19.57487,28.43192,22.11421,19.57487,17.87464,4.706228,19.57487,
638549105331505119,1425952,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.10882,-16.53398,19.53887,28.37963,22.07354,19.53887,17.84177,4.697573,19.53887,
638549105331605124,1425962,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.06085,-16.50673,19.50667,28.33286,22.03716,19.50667,17.81237,4.689831,19.50667,
638549105331715120,1425973,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-29.01383,-16.48003,19.47511,28.28702,22.00151,19.47511,17.78355,4.682244,19.47511,
638549105331825121,1425984,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.96599,-16.45285,19.443,28.24038,21.96523,19.443,17.75422,4.674523,19.443,
638549105331935131,1425996,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.9158,-16.42435,19.40932,28.19145,21.92717,19.40932,17.72346,4.666424,19.40932,
638549105332050235,1426007,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.86559,-16.39582,19.37561,28.14249,21.88909,19.37561,17.69268,4.65832,19.37561,
638549105332160231,1426018,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.81664,-16.36802,19.34275,28.09477,21.85197,19.34275,17.66268,4.650422,19.34275,
638549105332275306,1426029,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.76691,-16.33978,19.30937,28.04629,21.81427,19.30937,17.6322,4.642397,19.30937,
638549105332385303,1426040,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.71506,-16.31032,19.27457,27.99573,21.77494,19.27457,17.60042,4.634028,19.27457,
638549105332495312,1426051,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.66742,-16.28327,19.24259,27.94929,21.73882,19.24259,17.57122,4.626341,19.24259,
638549105332605310,1426062,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.61847,-16.25546,19.20974,27.90157,21.7017,19.20974,17.54122,4.618442,19.20974,
638549105332715320,1426073,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.56723,-16.22635,19.17534,27.85161,21.66284,19.17534,17.50981,4.610172,19.17534,
638549105332825313,1426084,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.51901,-16.19897,19.14297,27.8046,21.62628,19.14297,17.48026,4.602391,19.14297,
638549105332935310,1426096,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.46913,-16.17063,19.10949,27.75596,21.58845,19.10949,17.44968,4.59434,19.10949,
638549105333050460,1426107,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.41845,-16.14185,19.07548,27.70656,21.55002,19.07548,17.41862,4.586162,19.07548,
638549105333155548,1426118,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.36989,-16.11427,19.04288,27.65922,21.5132,19.04288,17.38886,4.578326,19.04288,
638549105333275539,1426129,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.32014,-16.08601,19.00948,27.61071,21.47547,19.00948,17.35836,4.570296,19.00948,
638549105333385545,1426140,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.26967,-16.05734,18.97561,27.56151,21.4372,18.97561,17.32743,4.562153,18.97561,
638549105333495556,1426151,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.22095,-16.02967,18.9429,27.51401,21.40025,18.9429,17.29756,4.554289,18.9429,
638549105333605538,1426162,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.17071,-16.00113,18.90918,27.46503,21.36216,18.90918,17.26677,4.546183,18.90918,
638549105333715540,1426174,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.12024,-15.97246,18.8753,27.41582,21.32388,18.8753,17.23583,4.538037,18.8753,
638549105333835549,1426185,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.07023,-15.94406,18.84174,27.36707,21.28596,18.84174,17.20518,4.529968,18.84174,
638549105333945545,1426196,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-28.01995,-15.9155,18.80799,27.31805,21.24784,18.80799,17.17437,4.521854,18.80799,
638549105334055549,1426208,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.96904,-15.88658,18.77382,27.26842,21.20923,18.77382,17.14316,4.513638,18.77382,
638549105334165544,1426219,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.91865,-15.85796,18.73999,27.21929,21.17102,18.73999,17.11228,4.505507,18.73999,
638549105334285549,1426230,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.8686,-15.82953,18.70639,27.17048,21.13306,18.70639,17.0816,4.497428,18.70639,
638549105334395549,1426242,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.81756,-15.80054,18.67214,27.12073,21.09436,18.67214,17.05032,4.489192,18.67214,
638549105334510639,1426253,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.76698,-15.77181,18.63819,27.07142,21.05601,18.63819,17.01931,4.48103,18.63819,
638549105334625743,1426264,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.71725,-15.74356,18.6048,27.02293,21.01829,18.6048,16.98883,4.473004,18.6048,
638549105334745742,1426276,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.66616,-15.71454,18.57051,26.97312,20.97955,18.57051,16.95752,4.464759,18.57051,
638549105334845741,1426287,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.61396,-15.68489,18.53547,26.92223,20.93997,18.53547,16.92552,4.456335,18.53547,
638549105334965742,1426298,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.56536,-15.65729,18.50285,26.87485,20.90311,18.50285,16.89573,4.448493,18.50285,
638549105335075748,1426310,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.51409,-15.62816,18.46843,26.82486,20.86423,18.46843,16.8643,4.440218,18.46843,
638549105335185743,1426321,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.46354,-15.59945,18.43451,26.77558,20.8259,18.43451,16.83332,4.432061,18.43451,
638549105335295740,1426332,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.4134,-15.57097,18.40085,26.7267,20.78788,18.40085,16.80259,4.42397,18.40085,
638549105335415740,1426343,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.36326,-15.54249,18.36719,26.6778,20.74985,18.36719,16.77185,4.415877,18.36719,
638549105335520859,1426354,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.31265,-15.51374,18.33322,26.62847,20.71148,18.33322,16.74084,4.40771,18.33322,
638549105335641049,1426366,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.26326,-15.48569,18.30007,26.58031,20.67403,18.30007,16.71056,4.39974,18.30007,
638549105335746215,1426377,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.21297,-15.45712,18.26632,26.53128,20.63589,18.26632,16.67974,4.391624,18.26632,
638549105335856209,1426388,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.16247,-15.42844,18.23242,26.48205,20.5976,18.23242,16.64879,4.383474,18.23242,
638549105335966208,1426399,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.11423,-15.40104,18.20004,26.43502,20.56102,18.20004,16.61922,4.37569,18.20004,
638549105336086216,1426410,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.06367,-15.37232,18.1661,26.38573,20.52267,18.1661,16.58823,4.36753,18.1661,
638549105336196209,1426421,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-27.01323,-15.34366,18.13224,26.33655,20.48442,18.13224,16.55731,4.35939,18.13224,
638549105336306221,1426432,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-26.96515,-15.31635,18.09997,26.28967,20.44796,18.09997,16.52784,4.35163,18.09997,
638549105336416421,1426443,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,-26.91424,-15.28744,18.0658,26.24004,20.40936,18.0658,16.49664,4.343415,18.0658,
