time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638549104267193979,1319521,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.45874,6.834931,19.07565,32.80267,20.03728,19.07565,14.36761,15.94128,19.07565,
638549104267303990,1319532,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.44125,6.823502,19.04375,32.74783,20.00377,19.04375,14.34358,15.91462,19.04375,
638549104267424188,1319544,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.42292,6.811527,19.01033,32.69035,19.96867,19.01033,14.31841,15.88669,19.01033,
638549104267524172,1319554,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.4034,6.798766,18.97471,32.62911,19.93126,18.97471,14.29158,15.85693,18.97471,
638549104267644188,1319566,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.3865,6.787722,18.94389,32.57611,19.89888,18.94389,14.26837,15.83117,18.94389,
638549104267754178,1319577,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.36793,6.775587,18.91002,32.51788,19.86331,18.91002,14.24286,15.80287,18.91002,
638549104267864173,1319588,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.34887,6.763134,18.87527,32.45811,19.8268,18.87527,14.21668,15.77383,18.87527,
638549104267974179,1319600,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.33085,6.751358,18.8424,32.4016,19.79227,18.8424,14.19193,15.74636,18.8424,
638549104268104173,1319612,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.31233,6.739251,18.80861,32.3435,19.75678,18.80861,14.16648,15.71813,18.80861,
638549104268204179,1319622,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.29265,6.726393,18.77272,32.28179,19.71909,18.77272,14.13945,15.68814,18.77272,
