time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638524921950204387,218872,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.516632,-32.94791,19.11517,-9.992845,12.36846,19.11517,-7.81126,26.53574,19.11517,
638524921950314381,218883,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.505372,-32.89098,19.08214,-9.975578,12.34709,19.08214,-7.797763,26.48989,19.08214,
638524921950424394,218895,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.493971,-32.83333,19.04869,-9.958096,12.32545,19.04869,-7.784097,26.44346,19.04869,
638524921950534397,218906,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.482525,-32.77546,19.01512,-9.940544,12.30373,19.01512,-7.770377,26.39685,19.01512,
638524921950654387,218917,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.471198,-32.7182,18.9819,-9.923175,12.28223,18.9819,-7.7568,26.35073,18.9819,
638524921950764395,218928,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.459816,-32.66065,18.94851,-9.905722,12.26063,18.94851,-7.743157,26.30438,18.94851,
638524921950874396,218939,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.4485,-32.60344,18.91532,-9.888369,12.23915,18.91532,-7.729593,26.2583,18.91532,
638524921950984385,218950,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.436889,-32.54473,18.88126,-9.870564,12.21712,18.88126,-7.715675,26.21102,18.88126,
638524921951104386,218962,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.425286,-32.48607,18.84722,-9.852773,12.1951,18.84722,-7.701768,26.16378,18.84722,
638524921951214386,218973,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.413773,-32.42786,18.81345,-9.835116,12.17324,18.81345,-7.687966,26.11689,18.81345,
638524921951334396,218985,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.40216,-32.36914,18.77938,-9.817308,12.1512,18.77938,-7.674046,26.0696,18.77938,
638524921951444393,218996,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.390394,-32.30965,18.74487,-9.799267,12.12887,18.74487,-7.659943,26.02169,18.74487,
638524921951554400,219007,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.378659,-32.25032,18.71045,-9.781272,12.1066,18.71045,-7.645877,25.97391,18.71045,
638524921951664385,219019,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.367134,-32.19205,18.67664,-9.763597,12.08472,18.67664,-7.632061,25.92698,18.67664,
638524921951784388,219030,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.35562,-32.13383,18.64287,-9.745942,12.06287,18.64287,-7.61826,25.88009,18.64287,
638524921951894388,219041,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.344059,-32.07538,18.60896,-9.728212,12.04093,18.60896,-7.604402,25.83301,18.60896,
638524921952014391,219053,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.332403,-32.01645,18.57476,-9.710339,12.0188,18.57476,-7.59043,25.78555,18.57476,
638524921952124393,219064,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.320609,-31.95681,18.54017,-9.692253,11.99642,18.54017,-7.576293,25.73752,18.54017,
638524921952234382,219075,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.30928,-31.89954,18.50694,-9.674881,11.97492,18.50694,-7.562713,25.69139,18.50694,
638524921952354379,219087,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.297634,-31.84065,18.47278,-9.657022,11.95281,18.47278,-7.548753,25.64397,18.47278,
638524921952464395,219098,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.285981,-31.78174,18.43859,-9.639153,11.9307,18.43859,-7.534785,25.59652,18.43859,
638524921952574397,219109,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.274389,-31.72313,18.40459,-9.621378,11.9087,18.40459,-7.520891,25.54932,18.40459,
638524921952694388,219121,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.262779,-31.66443,18.37054,-9.603574,11.88666,18.37054,-7.506973,25.50204,18.37054,
638524921952804392,219132,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.251196,-31.60587,18.33656,-9.585813,11.86468,18.33656,-7.493089,25.45488,18.33656,
638524921952924403,219144,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.239462,-31.54654,18.30214,-9.567819,11.84241,18.30214,-7.479023,25.40709,18.30214,
638524921953034386,219155,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.227774,-31.48745,18.26786,-9.549896,11.82022,18.26786,-7.465014,25.3595,18.26786,
638524921953144393,219166,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.216157,-31.42871,18.23378,-9.532083,11.79818,18.23378,-7.451089,25.3122,18.23378,
638524921953254385,219177,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.20472,-31.37088,18.20023,-9.514544,11.77647,18.20023,-7.437379,25.26562,18.20023,
638524921953364389,219188,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.193199,-31.31264,18.16644,-9.496879,11.7546,18.16644,-7.42357,25.21871,18.16644,
638524921953474399,219200,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.182117,-31.25661,18.13394,-9.479885,11.73357,18.13394,-7.410286,25.17359,18.13394,
638524921953594392,219211,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.170572,-31.19824,18.10007,-9.462181,11.71166,18.10007,-7.396448,25.12658,18.10007,
638524921953704391,219222,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.159027,-31.13986,18.0662,-9.444477,11.68974,18.0662,-7.382608,25.07956,18.0662,
638524921953814392,219233,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.147922,-31.08371,18.03363,-9.427447,11.66867,18.03363,-7.369297,25.03434,18.03363,
638524921953924396,219244,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.136601,-31.02648,18.00042,-9.410089,11.64718,18.00042,-7.355728,24.98825,18.00042,
638524921954034393,219255,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.124796,-30.96679,17.96579,-9.391985,11.62477,17.96579,-7.341577,24.94017,17.96579,
638524921954144397,219266,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.113949,-30.91195,17.93398,-9.375351,11.60419,17.93398,-7.328575,24.896,17.93398,
638524921954254394,219277,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.102626,-30.8547,17.90076,-9.357988,11.5827,17.90076,-7.315002,24.8499,17.90076,
638524921954364392,219288,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.091135,-30.7966,17.86706,-9.340367,11.56089,17.86706,-7.301229,24.8031,17.86706,
638524921954484395,219300,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.079903,-30.73981,17.83411,-9.323144,11.53957,17.83411,-7.287765,24.75737,17.83411,
638524921954594390,219311,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.068012,-30.67969,17.79923,-9.304911,11.517,17.79923,-7.273512,24.70895,17.79923,
638524921954694388,219322,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.056995,-30.62399,17.76691,-9.288016,11.49609,17.76691,-7.260305,24.66409,17.76691,
638524921954814389,219333,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.045795,-30.56736,17.73406,-9.270843,11.47484,17.73406,-7.246881,24.61848,17.73406,
638524921954924395,219344,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.034409,-30.50979,17.70066,-9.253381,11.45322,17.70066,-7.233232,24.57211,17.70066,
638524921955034395,219355,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.023092,-30.45257,17.66746,-9.236028,11.43175,17.66746,-7.219667,24.52604,17.66746,
638524921955144386,219366,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.011732,-30.39513,17.63414,-9.218607,11.41018,17.63414,-7.206049,24.47977,17.63414,
638524921955254386,219377,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.00013,-30.33648,17.60011,-9.200816,11.38817,17.60011,-7.192143,24.43253,17.60011,
638524921955364390,219388,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,5.988691,-30.27864,17.56656,-9.183275,11.36646,17.56656,-7.178432,24.38595,17.56656,
638524921955474384,219399,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,5.977621,-30.22267,17.53408,-9.166301,11.34545,17.53408,-7.165163,24.34088,17.53408,
638524921955584378,219410,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,5.96625,-30.16518,17.50073,-9.148865,11.32386,17.50073,-7.151533,24.29458,17.50073,
638524921955694392,219421,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,5.955004,-30.10832,17.46774,-9.131618,11.30252,17.46774,-7.138052,24.24878,17.46774,
638524921955814393,219433,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,5.943602,-30.05067,17.4343,-9.114135,11.28088,17.4343,-7.124385,24.20235,17.4343,
638524921955924394,219445,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,5.932125,-29.99264,17.40063,-9.096537,11.2591,17.40063,-7.110629,24.15562,17.40063,
