time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638524921592505127,183102,-7.783118,31.4641,19.96698,4.344062,-6.177758,18.24136,3.168476,-22.69671,18.24136,
638524921592615116,183113,-7.770108,31.4115,19.93361,4.336113,-6.166454,18.20798,3.162679,-22.65518,18.20798,
638524921592725119,183124,-7.757088,31.35887,19.9002,4.328159,-6.155142,18.17458,3.156877,-22.61362,18.17458,
638524921592835111,183135,-7.744154,31.30658,19.86702,4.320257,-6.143905,18.1414,3.151114,-22.57233,18.1414,
638524921592945210,183146,-7.731155,31.25403,19.83367,4.312315,-6.132611,18.10805,3.145321,-22.53084,18.10805,
638524921593105209,183162,-7.718039,31.20101,19.80003,4.304302,-6.121215,18.0744,3.139477,-22.48897,18.0744,
638524921593165217,183168,-7.699789,31.12723,19.75321,4.293152,-6.105359,18.02758,3.131344,-22.43072,18.02758,
638524921593285216,183180,-7.692323,31.09705,19.73405,4.288591,-6.098873,18.00843,3.128018,-22.40689,18.00843,
638524921593390757,183191,-7.678971,31.04307,19.6998,4.280434,-6.087272,17.97418,3.122068,-22.36427,17.97418,
638524921593500770,183202,-7.666108,30.99107,19.6668,4.272575,-6.076096,17.94118,3.116336,-22.32321,17.94118,
638524921593610772,183213,-7.653196,30.93887,19.63367,4.264687,-6.064878,17.90805,3.110582,-22.28199,17.90805,
638524921593720752,183224,-7.639982,30.88545,19.59978,4.256614,-6.053397,17.87415,3.104694,-22.23981,17.87415,
638524921593830766,183235,-7.627259,30.83401,19.56713,4.248841,-6.042343,17.84151,3.099024,-22.1992,17.84151,
638524921593940872,183246,-7.614234,30.78136,19.53372,4.240884,-6.031027,17.8081,3.09322,-22.15762,17.8081,
638524921594060867,183257,-7.601295,30.72905,19.50053,4.232979,-6.019785,17.7749,3.087455,-22.11632,17.7749,
638524921594170864,183268,-7.588129,30.67583,19.46675,4.224935,-6.008346,17.74113,3.081588,-22.0743,17.74113,
638524921594280862,183280,-7.575269,30.62384,19.43376,4.217079,-5.997173,17.70814,3.075857,-22.03325,17.70814,
638524921594390868,183291,-7.562246,30.57119,19.40035,4.209122,-5.985858,17.67472,3.070054,-21.99168,17.67472,
638524921594500871,183302,-7.549283,30.51879,19.36709,4.201203,-5.974596,17.64147,3.064278,-21.9503,17.64147,
638524921594650985,183317,-7.536209,30.46594,19.33355,4.193215,-5.963237,17.60793,3.058452,-21.90857,17.60793,
638524921594720976,183323,-7.518692,30.39512,19.28862,4.182514,-5.948018,17.56299,3.050647,-21.85266,17.56299,
638524921594830978,183335,-7.510488,30.36196,19.26757,4.177502,-5.94089,17.54194,3.04699,-21.82647,17.54194,
638524921594946317,183346,-7.497364,30.3089,19.2339,4.169484,-5.929487,17.50828,3.041142,-21.78457,17.50828,
638524921595056293,183357,-7.48438,30.25641,19.20059,4.161551,-5.918207,17.47497,3.035357,-21.74313,17.47497,
638524921595166297,183369,-7.471428,30.20405,19.16736,4.153639,-5.906954,17.44174,3.029585,-21.70179,17.44174,
638524921595276302,183380,-7.458181,30.1505,19.13338,4.145545,-5.895444,17.40775,3.023682,-21.6595,17.40775,
638524921595386298,183391,-7.445116,30.09768,19.09986,4.137564,-5.884093,17.37424,3.01786,-21.6178,17.37424,
638524921595506306,183402,-7.432172,30.04535,19.06666,4.129656,-5.872847,17.34103,3.012092,-21.57648,17.34103,
638524921595616302,183413,-7.419135,29.99265,19.03321,4.121691,-5.86152,17.30759,3.006283,-21.53487,17.30759,
638524921595726296,183424,-7.406208,29.9404,19.00005,4.113794,-5.850288,17.27442,3.000523,-21.4936,17.27442,
638524921595836305,183435,-7.393248,29.888,18.9668,4.105876,-5.839028,17.24117,2.994748,-21.45223,17.24117,
638524921595946402,183446,-7.380113,29.8349,18.9331,4.097852,-5.827617,17.20748,2.988895,-21.41031,17.20748,
638524921596056400,183457,-7.36721,29.78274,18.9,4.089969,-5.816406,17.17438,2.983145,-21.36912,17.17438,
638524921596216404,183473,-7.354218,29.73022,18.86667,4.082031,-5.805119,17.14105,2.977356,-21.32765,17.14105,
638524921596276404,183479,-7.33629,29.65775,18.82068,4.071078,-5.789542,17.09505,2.969367,-21.27042,17.09505,
638524921596386400,183491,-7.328377,29.62576,18.80038,4.066244,-5.782667,17.07475,2.965841,-21.24517,17.07475,
638524921596496413,183502,-7.315277,29.5728,18.76677,4.05824,-5.771285,17.04115,2.960003,-21.20335,17.04115,
638524921596616404,183513,-7.302343,29.52051,18.73359,4.050339,-5.760048,17.00797,2.95424,-21.16207,17.00797,
638524921596726401,183524,-7.289258,29.46761,18.70002,4.042345,-5.748679,16.9744,2.948409,-21.1203,16.9744,
638524921596836399,183536,-7.275955,29.41384,18.66589,4.034218,-5.737122,16.94027,2.942481,-21.07784,16.94027,
638524921596956545,183547,-7.262896,29.36104,18.63239,4.026239,-5.725775,16.90676,2.936662,-21.03615,16.90676,
638524921597066534,183558,-7.249496,29.30687,18.59801,4.018052,-5.714133,16.87239,2.930691,-20.99338,16.87239,
638524921597176535,183569,-7.236224,29.25322,18.56397,4.009944,-5.702602,16.83834,2.924777,-20.95101,16.83834,
638524921597286553,183580,-7.22369,29.20255,18.53181,4.002286,-5.691712,16.80619,2.919191,-20.911,16.80619,
