time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638524908416607056,310614,7.536373,3.660057,20,21.77608,10.92931,20,-16.79491,24.28299,20,
638524908416677049,310621,7.519221,3.651727,19.95448,21.72652,10.90443,19.95448,-16.75669,24.22772,19.95448,
638524908416777047,310631,7.511227,3.647845,19.93327,21.70342,10.89284,19.93327,-16.73888,24.20196,19.93327,
638524908416887053,310642,7.500378,3.642576,19.90447,21.67208,10.8771,19.90447,-16.7147,24.167,19.90447,
638524908416997056,310653,7.487873,3.636503,19.87129,21.63594,10.85897,19.87129,-16.68683,24.12671,19.87129,
638524908417107064,310664,7.475299,3.630396,19.83792,21.59961,10.84073,19.83792,-16.65881,24.0862,19.83792,
638524908417217048,310675,7.462792,3.624322,19.80473,21.56347,10.8226,19.80473,-16.63094,24.0459,19.80473,
638524908417337056,310687,7.450121,3.618169,19.7711,21.52686,10.80422,19.7711,-16.6027,24.00507,19.7711,
638524908417437049,310697,7.437207,3.611897,19.73683,21.48955,10.78549,19.73683,-16.57392,23.96346,19.73683,
638524908417557050,310708,7.425167,3.606049,19.70488,21.45476,10.76803,19.70488,-16.54709,23.92467,19.70488,
638524908417667055,310719,7.412519,3.599906,19.67131,21.41821,10.74969,19.67131,-16.5189,23.88391,19.67131,
638524908417777054,310730,7.399992,3.593823,19.63807,21.38201,10.73152,19.63807,-16.49099,23.84355,19.63807,
638524908417887045,310742,7.38755,3.587781,19.60505,21.34607,10.71348,19.60505,-16.46326,23.80346,19.60505,
638524908417997055,310753,7.374933,3.581653,19.57157,21.30961,10.69518,19.57157,-16.43515,23.76281,19.57157,
638524908418107055,310764,7.362367,3.575551,19.53822,21.2733,10.67696,19.53822,-16.40714,23.72232,19.53822,
638524908418217059,310775,7.349861,3.569477,19.50503,21.23716,10.65882,19.50503,-16.37927,23.68202,19.50503,
638524908418327052,310786,7.337294,3.563374,19.47168,21.20085,10.6406,19.47168,-16.35127,23.64153,19.47168,
638524908418447053,310797,7.324548,3.557184,19.43786,21.16402,10.62211,19.43786,-16.32286,23.60046,19.43786,
638524908418547045,310808,7.311833,3.551008,19.40411,21.12728,10.60367,19.40411,-16.29453,23.55949,19.40411,
638524908418667056,310819,7.299597,3.545066,19.37164,21.09193,10.58593,19.37164,-16.26726,23.52007,19.37164,
638524908418777054,310830,7.286935,3.538917,19.33804,21.05534,10.56757,19.33804,-16.23904,23.47927,19.33804,
638524908418887052,310842,7.27445,3.532853,19.3049,21.01927,10.54946,19.3049,-16.21122,23.43904,19.3049,
638524908418997054,310853,7.261893,3.526755,19.27158,20.98298,10.53125,19.27158,-16.18324,23.39858,19.27158,
638524908419107057,310864,7.249439,3.520706,19.23853,20.947,10.51319,19.23853,-16.15548,23.35845,19.23853,
638524908419217059,310875,7.23689,3.514612,19.20523,20.91074,10.49499,19.20523,-16.12752,23.31802,19.20523,
638524908419327060,310886,7.224276,3.508486,19.17175,20.87429,10.4767,19.17175,-16.09941,23.27737,19.17175,
638524908419437067,310897,7.211666,3.502362,19.13829,20.83785,10.45841,19.13829,-16.07131,23.23674,19.13829,
638524908419547050,310908,7.199132,3.496275,19.10503,20.80164,10.44023,19.10503,-16.04338,23.19636,19.10503,
638524908419667060,310919,7.186588,3.490183,19.07174,20.76539,10.42204,19.07174,-16.01542,23.15594,19.07174,
638524908419807056,310934,7.173921,3.484031,19.03812,20.72879,10.40367,19.03812,-15.98719,23.11512,19.03812,
638524908419917067,310945,7.158043,3.47632,18.99598,20.68291,10.38064,18.99598,-15.95181,23.06396,18.99598,
638524908420027065,310956,7.145213,3.470089,18.96194,20.64584,10.36204,18.96194,-15.92321,23.02262,18.96194,
638524908420177053,310970,7.133161,3.464236,18.92995,20.61102,10.34456,18.92995,-15.89636,22.98379,18.92995,
638524908420237075,310977,7.116417,3.456104,18.88552,20.56263,10.32028,18.88552,-15.85904,22.92984,18.88552,
638524908420297068,310983,7.109107,3.452554,18.86612,20.54151,10.30968,18.86612,-15.84275,22.90629,18.86612,
638524908420417203,310995,7.101987,3.449096,18.84722,20.52094,10.29935,18.84722,-15.82689,22.88335,18.84722,
638524908420527193,311006,7.089052,3.442814,18.8129,20.48356,10.28059,18.8129,-15.79806,22.84167,18.8129,
638524908420637207,311017,7.076649,3.436791,18.77998,20.44773,10.26261,18.77998,-15.77042,22.8017,18.77998,
638524908420747202,311028,7.064089,3.430691,18.74665,20.41143,10.24439,18.74665,-15.74243,22.76123,18.74665,
638524908420857201,311039,7.051483,3.424569,18.71319,20.37501,10.22611,18.71319,-15.71434,22.72061,18.71319,
638524908420967201,311050,7.03895,3.418482,18.67993,20.33879,10.20794,18.67993,-15.68641,22.68023,18.67993,
638524908421077207,311061,7.02652,3.412445,18.64695,20.30288,10.18991,18.64695,-15.65871,22.64018,18.64695,
638524908421187200,311072,7.013772,3.406255,18.61312,20.26604,10.17142,18.61312,-15.6303,22.59911,18.61312,
638524908421307201,311083,7.001383,3.400237,18.58024,20.23025,10.15345,18.58024,-15.60269,22.55919,18.58024,
638524908421417207,311094,6.988604,3.394031,18.54632,20.19332,10.13492,18.54632,-15.57421,22.51801,18.54632,
638524908421527201,311105,6.976153,3.387985,18.51328,20.15735,10.11687,18.51328,-15.54646,22.4779,18.51328,
638524908421637193,311117,6.96368,3.381927,18.48018,20.12131,10.09878,18.48018,-15.51867,22.4377,18.48018,
638524908421747200,311128,6.951072,3.375804,18.44673,20.08488,10.08049,18.44673,-15.49057,22.39708,18.44673,
638524908421857199,311139,6.938541,3.369719,18.41347,20.04867,10.06232,18.41347,-15.46264,22.35671,18.41347,
638524908421967204,311150,6.925992,3.363624,18.38017,20.01241,10.04412,18.38017,-15.43468,22.31627,18.38017,
638524908422077192,311161,6.913345,3.357482,18.34661,19.97587,10.02578,18.34661,-15.40649,22.27552,18.34661,
638524908422187222,311172,6.900859,3.351418,18.31347,19.93979,10.00768,18.31347,-15.37867,22.23529,18.31347,
638524908422297195,311183,6.888252,3.345296,18.28001,19.90336,9.989393,18.28001,-15.35058,22.19467,18.28001,
638524908422417206,311194,32.70938,16.23151,20,19.86756,9.971427,18.24714,-15.32297,22.15475,18.24714,
638524908422527216,311205,32.65392,16.20398,19.96609,19.83064,9.952893,18.21322,-15.29449,22.11357,18.21322,
638524908422637200,311216,32.60021,16.17733,19.93325,19.79489,9.93495,18.18039,-15.26691,22.07371,18.18039,
638524908422747197,311228,32.54569,16.15028,19.89991,19.75859,9.916731,18.14705,-15.23892,22.03323,18.14705,
638524908422857194,311239,32.49086,16.12307,19.86639,19.72209,9.898413,18.11353,-15.21077,21.99253,18.11353,
638524908422967386,311250,32.43674,16.09621,19.8333,19.68606,9.880329,18.08043,-15.18298,21.95235,18.08043,
638524908423077201,311261,32.38222,16.06916,19.79996,19.64976,9.862111,18.0471,-15.15498,21.91187,18.0471,
638524908423187213,311272,32.32766,16.04208,19.7666,19.61343,9.843881,18.01374,-15.12697,21.87136,18.01374,
638524908423297193,311283,32.27293,16.01493,19.73314,19.577,9.825596,17.98028,-15.09887,21.83074,17.98028,
638524908423407206,311294,32.21867,15.988,19.69996,19.54087,9.807463,17.94709,-15.07101,21.79045,17.94709,
638524908423527220,311306,32.16407,15.96091,19.66658,19.50453,9.789221,17.91371,-15.04297,21.74992,17.91371,
638524908423637203,311316,32.10902,15.93359,19.63291,19.46788,9.770825,17.88005,-15.01471,21.70905,17.88005,
638524908423747191,311328,32.05511,15.90684,19.59995,19.43199,9.752813,17.84709,-14.98703,21.66903,17.84709,
638524908423857201,311339,31.99947,15.87923,19.56593,19.39495,9.734222,17.81307,-14.95846,21.62773,17.81307,
638524908423977195,311350,31.94407,15.85174,19.53206,19.35806,9.715712,17.7792,-14.93001,21.5866,17.7792,
638524908424087203,311362,31.88842,15.82412,19.49803,19.32102,9.697117,17.74517,-14.90144,21.54528,17.74517,
638524908424207197,311373,31.83271,15.79648,19.46397,19.28393,9.678503,17.71111,-14.87284,21.50393,17.71111,
638524908424317211,311384,31.77593,15.7683,19.42925,19.24613,9.659532,17.67639,-14.84368,21.46178,17.67639,
638524908424427197,311396,31.72171,15.74139,19.3961,19.21003,9.641414,17.64323,-14.81584,21.42152,17.64323,
638524908424537196,311407,31.6659,15.7137,19.36197,19.17287,9.622765,17.60911,-14.78718,21.38009,17.60911,
638524908424657204,311418,31.60925,15.68559,19.32734,19.13516,9.603838,17.57447,-14.7581,21.33804,17.57447,
638524908424767204,311430,31.55473,15.65853,19.294,19.09886,9.585619,17.54113,-14.7301,21.29756,17.54113,
638524908424877203,311441,31.49936,15.63106,19.26015,19.062,9.567121,17.50728,-14.70168,21.25645,17.50728,
638524908424997202,311452,31.44283,15.60301,19.22558,19.02436,9.54823,17.47271,-14.67265,21.21448,17.47271,
638524908425107198,311464,31.38758,15.57559,19.1918,18.98758,9.52977,17.43893,-14.64428,21.17347,17.43893,
638524908425217202,311475,31.33175,15.54789,19.15766,18.95042,9.511116,17.4048,-14.61562,21.13202,17.4048,
638524908425337197,311486,31.27669,15.52056,19.12399,18.91376,9.492717,17.37113,-14.58734,21.09114,17.37113,
638524908425447202,311498,31.22116,15.49301,19.09004,18.87679,9.474163,17.33718,-14.55883,21.04992,17.33718,
638524908425557210,311509,31.16575,15.46551,19.05616,18.8399,9.455648,17.3033,-14.53038,21.00879,17.3033,
638524908425677200,311520,31.11001,15.43785,19.02208,18.80279,9.437024,17.26921,-14.50176,20.96741,17.26921,
638524908425787201,311532,31.05478,15.41044,18.9883,18.76602,9.418569,17.23544,-14.4734,20.9264,17.23544,
638524908425897195,311543,30.99849,15.38251,18.95389,18.72855,9.399763,17.20103,-14.4445,20.88462,17.20103,
638524908426007198,311554,30.94324,15.3551,18.92011,18.69177,9.381303,17.16725,-14.41613,20.8436,17.16725,
638524908426127190,311565,30.88939,15.32837,18.88718,18.65591,9.363306,17.13432,-14.38848,20.80362,17.13432,
638524908426227201,311576,30.83356,15.30067,18.85304,18.61875,9.344653,17.10018,-14.35981,20.76217,17.10018,
638524908426337194,311587,30.78033,15.27425,18.82049,18.58331,9.326865,17.06763,-14.33248,20.72265,17.06763,
638524908426457202,311598,30.72605,15.24732,18.78731,18.54718,9.308731,17.03445,-14.30461,20.68236,17.03445,
638524908426567196,311610,30.67141,15.2202,18.7539,18.5108,9.290473,17.00104,-14.27656,20.64179,17.00104,
638524908426677211,311621,30.61667,15.19304,18.72043,18.47436,9.272184,16.96757,-14.24845,20.60116,16.96757,
638524908426787204,311632,30.56144,15.16563,18.68666,18.43758,9.253728,16.93379,-14.22009,20.56015,16.93379,
638524908426897204,311643,30.50785,15.13904,18.65389,18.40191,9.235822,16.90103,-14.19258,20.52037,16.90103,
638524908427007201,311654,30.45319,15.11191,18.62047,18.36552,9.217559,16.86761,-14.16451,20.47979,16.86761,
638524908427117201,311665,30.39882,15.08493,18.58722,18.32932,9.199389,16.83436,-14.13659,20.43942,16.83436,
638524908427237206,311676,30.34451,15.05798,18.55402,18.29317,9.181246,16.80116,-14.10871,20.39911,16.80116,
638524908427347203,311687,30.28888,15.03038,18.52,18.25613,9.162657,16.76714,-14.08014,20.35781,16.76714,
638524908427457204,311698,30.23521,15.00374,18.48719,18.2204,9.144724,16.73432,-14.05259,20.31796,16.73432,
638524908427567197,311710,30.1809,14.97679,18.45398,18.18424,9.126575,16.70111,-14.0247,20.27764,16.70111,
638524908427677202,311721,30.12661,14.94985,18.42078,18.1481,9.108435,16.66792,-13.99682,20.23734,16.66792,
638524908427787197,311732,30.07219,14.92284,18.3875,18.11187,9.090251,16.63464,-13.96888,20.19694,16.63464,
638524908427897192,311743,30.0175,14.89571,18.35407,18.07546,9.071979,16.6012,-13.9408,20.15634,16.6012,
638524908428007202,311754,29.96304,14.86868,18.32077,18.0392,9.053781,16.5679,-13.91284,20.11591,16.5679,
638524908428117205,311765,29.90836,14.84155,18.28733,18.0028,9.035512,16.53447,-13.88476,20.07532,16.53447,
638524908428237201,311776,29.85325,14.8142,18.25364,17.96611,9.017097,16.50077,-13.85646,20.0344,16.50077,
638524908428347201,311788,29.799,14.78728,18.22047,17.92999,8.998972,16.46761,-13.82861,19.99413,16.46761,
638524908428457195,311798,29.74403,14.76,18.18686,17.8934,8.980605,16.434,-13.80039,19.95332,16.434,
638524908428567197,311810,29.69064,14.73351,18.15421,17.85785,8.962764,16.40135,-13.77297,19.91368,16.40135,
638524908428677209,311821,29.63581,14.7063,18.12069,17.82135,8.944445,16.36782,-13.74482,19.87298,16.36782,
638524908428787197,311832,29.58169,14.67944,18.08759,17.78532,8.92636,16.33473,-13.71703,19.8328,16.33473,
638524908428897201,311843,29.52694,14.65228,18.05412,17.74887,8.908067,16.30126,-13.68892,19.79216,16.30126,
638524908429007203,311854,29.47262,14.62532,18.02091,17.71271,8.889918,16.26805,-13.66103,19.75183,16.26805,
638524908429117209,311865,29.41832,14.59837,17.9877,17.67656,8.871773,16.23484,-13.63315,19.71152,16.23484,
638524908429227204,311876,29.36386,14.57135,17.9544,17.6403,8.853575,16.20154,-13.60518,19.67109,16.20154,
638524908429347197,311888,29.30907,14.54416,17.92091,17.60383,8.835271,16.16805,-13.57705,19.63042,16.16805,
638524908429457204,311898,29.25361,14.51664,17.887,17.5669,8.816738,16.13413,-13.54857,19.58924,16.13413,
638524908429567204,311909,29.2001,14.49009,17.85428,17.53128,8.798858,16.10141,-13.5211,19.54951,16.10141,
638524908429677213,311921,29.1456,14.46304,17.82095,17.495,8.780647,16.06809,-13.49311,19.50905,16.06809,
638524908429787193,311932,29.09135,14.43612,17.78778,17.45888,8.762523,16.03492,-13.46526,19.46879,16.03492,
638524908429897195,311943,29.03537,14.40834,17.75355,17.42161,8.743817,16.00069,-13.43652,19.42723,16.00069,
638524908430007202,311954,28.98182,14.38177,17.72081,17.38596,8.725924,15.96795,-13.40902,19.38747,15.96795,
638524908430117204,311965,28.92717,14.35465,17.6874,17.34958,8.707664,15.93453,-13.38096,19.3469,15.93453,
638524908430227205,311976,28.87294,14.32774,17.65423,17.31347,8.689544,15.90137,-13.35312,19.30664,15.90137,
638524908430347213,311987,28.81861,14.30078,17.62102,17.27731,8.671392,15.86816,-13.32522,19.26631,15.86816,
638524908430447197,311998,28.76342,14.27339,17.58727,17.24056,8.652949,15.8344,-13.29688,19.22533,15.8344,
638524908430567195,312009,28.70968,14.24673,17.55441,17.20479,8.634995,15.80155,-13.26929,19.18544,15.80155,
638524908430677207,312021,28.6552,14.21969,17.5211,17.16852,8.616791,15.76824,-13.24132,19.14499,15.76824,
638524908430787203,312032,28.60077,14.19268,17.48781,17.13228,8.598602,15.73495,-13.21337,19.10458,15.73495,
638524908430897212,312043,28.54596,14.16548,17.45431,17.09579,8.580291,15.70144,-13.18523,19.06389,15.70144,
638524908431012378,312054,28.49027,14.13785,17.42025,17.05872,8.561682,15.66739,-13.15663,19.02255,15.66739,
638524908431122382,312065,28.43593,14.11088,17.38703,17.02254,8.543527,15.63417,-13.12873,18.98221,15.63417,
638524908431232384,312077,28.38182,14.08403,17.35394,16.98652,8.525444,15.60108,-13.10095,18.94204,15.60108,
638524908431342393,312088,28.3267,14.05668,17.32024,16.94982,8.507029,15.56738,-13.07265,18.90112,15.56738,
638524908431452394,312099,28.27174,14.0294,17.28664,16.91323,8.488663,15.53377,-13.04443,18.86032,15.53377,
638524908431562390,312110,28.21748,14.00248,17.25346,16.8771,8.470531,15.50059,-13.01656,18.82003,15.50059,
638524908431682389,312121,28.16307,13.97548,17.22019,16.84088,8.452352,15.46732,-12.98863,18.77964,15.46732,
638524908431792889,312132,28.10885,13.94857,17.18704,16.80479,8.434237,15.43418,-12.96079,18.73939,15.43418,
638524908431902381,312144,28.05403,13.92137,17.15352,16.76829,8.415918,15.40065,-12.93264,18.69869,15.40065,
638524908432002382,312154,27.99838,13.89375,17.11949,16.73124,8.397323,15.36662,-12.90407,18.65738,15.36662,
638524908432122370,312165,27.94689,13.8682,17.08801,16.69696,8.380119,15.33514,-12.87763,18.61915,15.33514,
638524908432237537,312177,27.89247,13.8412,17.05473,16.66073,8.361934,15.30187,-12.84968,18.57875,15.30187,
638524908432337534,312187,27.83537,13.81286,17.01982,16.62272,8.342857,15.26696,-12.82037,18.53636,15.26696,
638524908432447540,312198,27.78334,13.78704,16.98801,16.58808,8.32547,15.23514,-12.79365,18.49773,15.23514,
638524908432557534,312209,27.72876,13.75996,16.95464,16.55175,8.307236,15.20177,-12.76563,18.45722,15.20177,
