time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638521425102992836,280258,0,5,10,
638521425103052830,280264,0.09294794,4.98428,10,
638521425103102844,280269,0.1253853,4.978794,10,
638521425103202823,280278,0.1497852,4.974667,10,
638521425103312826,280289,0.1959935,4.966851,10,
638521425103422831,280301,0.2504594,4.957639,10,
638521425103532827,280312,0.3055441,4.948323,10,
638521425103642825,280323,0.3604858,4.93903,10,
638521425103762827,280334,0.4153053,4.929759,10,
638521425103862825,280345,0.4713518,4.920279,10,
638521425103982829,280356,0.5242515,4.911332,10,
638521425104092828,280367,0.5789985,4.902072,10,
638521425104202831,280378,0.634626,4.892664,10,
638521425104312840,280389,0.6886256,4.883531,10,
638521425104422846,280400,0.7429614,4.874341,10,
638521425104532821,280411,0.797808,4.865065,10,
638521425104642824,280423,0.8523632,4.855837,10,
638521425104752832,280434,0.9074331,4.846523,10,
638521425104862957,280445,0.9623462,4.837236,10,
638521425104972960,280456,1.017054,4.827983,10,
638521425105082957,280467,1.071583,4.81876,10,
638521425105202969,280478,1.126644,4.809448,10,
638521425105312951,280489,1.181256,4.800211,10,
638521425105422975,280500,1.236033,4.790946,10,
638521425105532950,280512,1.290658,4.781708,10,
638521425105642948,280523,1.345197,4.772483,10,
638521425105752965,280534,1.401589,4.762946,10,
638521425105862957,280545,1.455137,4.753889,10,
638521425105972952,280556,1.510012,4.744608,10,
638521425106082963,280567,1.564239,4.735436,10,
638521425106202955,280578,1.619189,4.726142,10,
638521425106312957,280589,1.674253,4.716829,10,
638521425106422948,280600,1.728772,4.707608,10,
638521425106532948,280611,1.783431,4.698364,10,
638521425106642958,280623,1.838112,4.689116,10,
638521425106752957,280634,1.893186,4.679801,10,
638521425106872953,280645,1.949829,4.67022,10,
638521425106982951,280657,2.006242,4.660679,10,
638521425107102950,280668,2.061452,4.651341,10,
638521425107212963,280680,2.118191,4.641745,10,
638521425107324070,280691,2.17428,4.632258,10,
638521425107434061,280702,2.229543,4.622911,10,
638521425107554063,280714,2.285365,4.61347,10,
638521425107664090,280725,2.342887,4.603741,10,
638521425107784070,280736,2.398541,4.594328,10,
638521425107894075,280748,2.453822,4.584979,10,
638521425108004076,280759,2.510071,4.575465,10,
638521425108124059,280770,2.566194,4.565973,10,
638521425108234064,280782,2.622426,4.556463,10,
638521425108344067,280793,2.677725,4.54711,10,
638521425108464068,280805,2.734345,4.537534,10,
638521425108574070,280816,2.790441,4.528046,10,
638521425108694068,280827,2.845676,4.518704,10,
638521425108804072,280839,2.903093,4.508993,10,
638521425108914064,280850,2.958434,4.499633,10,
638521425109024081,280861,3.012991,4.490406,10,
638521425109134063,280872,3.068388,4.481036,10,
638521425109244073,280883,3.123008,4.471798,10,
638521425109354071,280894,3.177072,4.462654,10,
638521425109464061,280905,3.232236,4.453324,10,
638521425109584075,280916,3.286499,4.444147,10,
638521425109694067,280927,3.341635,4.434821,10,
638521425109804187,280939,3.396112,4.425607,10,
638521425109914158,280950,3.45163,4.416217,10,
638521425110024161,280961,3.506337,4.406965,10,
638521425110134166,280972,3.560568,4.397793,10,
638521425110244167,280983,3.615573,4.38849,10,
638521425110364176,280995,3.670573,4.379188,10,
638521425110474165,281005,3.726746,4.369687,10,
638521425110584166,281016,3.779765,4.36072,10,
638521425110694167,281027,3.834572,4.35145,10,
638521425110804166,281039,3.889047,4.342237,10,
638521425110914169,281050,3.943915,4.332957,10,
638521425111024158,281061,3.998427,4.323737,10,
638521425111134161,281072,4.054666,4.314225,10,
638521425111244179,281083,4.107945,4.305214,10,
638521425111364175,281094,4.163166,4.295874,10,
638521425111474173,281105,4.218617,4.286496,10,
638521425111584168,281116,4.272791,4.277333,10,
638521425111694168,281127,4.327113,4.268145,10,
638521425111804158,281138,4.382004,4.258861,10,
638521425111914167,281150,4.436576,4.249631,10,
638521425112024182,281161,4.491464,4.240348,10,
638521425112134173,281172,4.546013,4.231122,10,
638521425112244169,281183,4.600931,4.221834,10,
638521425112354156,281194,4.65522,4.212652,10,
638521425112474166,281205,4.710407,4.203318,10,
638521425112574156,281216,4.767163,4.193718,10,
638521425112694164,281227,4.819729,4.184828,10,
638521425112804157,281238,4.874964,4.175486,10,
638521425112914162,281250,4.929026,4.166342,10,
638521425113024156,281261,4.984374,4.156981,10,
638521425113134172,281272,5.038611,4.147808,10,
638521425113244165,281283,5.094046,4.138432,10,
638521425113354153,281294,5.148139,4.129283,10,
638521425113464169,281305,5.203092,4.119989,10,
638521425113574167,281316,5.257441,4.110797,10,
638521425113694172,281327,5.31253,4.10148,10,
638521425113804163,281338,5.367764,4.092138,10,
638521425113914173,281349,5.422111,4.082946,10,
638521425114024159,281361,5.476634,4.073724,10,
638521425114134160,281372,5.531684,4.064414,10,
638521425114244172,281383,5.586215,4.055191,10,
638521425114354171,281394,5.640816,4.045956,10,
638521425114474169,281405,5.696574,4.036525,10,
638521425114584178,281416,5.751491,4.027237,10,
638521425114694165,281427,5.805397,4.01812,10,
638521425114804262,281438,5.860823,4.008746,10,
638521425114914262,281450,5.915403,3.999514,10,
638521425115024257,281460,5.969925,3.990293,10,
638521425115134258,281472,6.024243,3.981106,10,
638521425115244257,281483,6.079125,3.971823,10,
638521425115354261,281494,6.13359,3.962612,10,
638521425115464257,281505,6.188448,3.953333,10,
638521425115574264,281516,6.243726,3.943984,10,
638521425115694262,281527,6.298208,3.934769,10,
638521425115794253,281538,6.353415,3.925432,10,
638521425115914260,281549,6.407442,3.916294,10,
638521425116024256,281560,6.462702,3.906948,10,
638521425116134258,281572,6.517092,3.897749,10,
638521425116244269,281583,6.572197,3.888429,10,
638521425116354261,281594,6.627185,3.879129,10,
638521425116464256,281605,6.681467,3.869948,10,
638521425116574266,281616,6.737122,3.860535,10,
638521425116684252,281627,6.791193,3.85139,10,
638521425116804261,281638,6.845554,3.842196,10,
638521425116914254,281649,6.90061,3.832884,10,
638521425117024255,281661,6.954915,3.823699,10,
638521425117134254,281672,7.010456,3.814305,10,
638521425117244259,281683,7.064769,3.805119,10,
638521425117354255,281694,7.119603,3.795845,10,
638521425117464259,281705,7.174325,3.78659,10,
638521425117574293,281716,7.228777,3.77738,10,
638521425117694265,281728,7.283528,3.76812,10,
638521425117804259,281738,7.339434,3.758664,10,
638521425117914269,281749,7.393609,3.749502,10,
638521425118024256,281761,7.447914,3.740317,10,
638521425118134261,281772,7.502806,3.731033,10,
638521425118244262,281783,7.557738,3.721742,10,
638521425118354267,281794,7.612248,3.712523,10,
638521425118464259,281805,7.666723,3.703309,10,
638521425118574263,281816,7.721512,3.694042,10,
638521425118684256,281827,7.776596,3.684726,10,
638521425118804251,281839,7.831011,3.675523,10,
638521425118904256,281849,7.887385,3.665988,10,
638521425119024257,281860,7.940341,3.657031,10,
638521425119134250,281871,7.995541,3.647695,10,
638521425119244266,281883,8.050196,3.638451,10,
638521425119354258,281894,8.104927,3.629194,10,
638521425119464264,281905,8.16018,3.619849,10,
638521425119574267,281916,8.214532,3.610657,10,
638521425119684259,281927,8.269604,3.601342,10,
638521425119794255,281938,8.323937,3.592153,10,
638521425119904256,281949,8.378665,3.582897,10,
638521425120024252,281960,8.433494,3.573623,10,
638521425120134251,281971,8.487998,3.564405,10,
638521425120244267,281983,8.543086,3.555088,10,
638521425120354264,281994,8.597675,3.545855,10,
638521425120464272,282005,8.652345,3.536609,10,
638521425120574254,282016,8.70733,3.527309,10,
638521425120684255,282027,8.761888,3.518081,10,
638521425120794265,282038,8.816962,3.508766,10,
638521425120904263,282049,8.87177,3.499496,10,
638521425121024266,282061,8.926325,3.490269,10,
638521425121134258,282071,8.982019,3.48085,10,
638521425121244262,282082,9.03539,3.471823,10,
638521425121354254,282094,9.090297,3.462536,10,
638521425121464260,282105,9.14556,3.453189,10,
638521425121574260,282116,9.20088,3.443833,10,
638521425121684276,282127,9.255333,3.434623,10,
638521425121794266,282138,9.309672,3.425433,10,
638521425121904244,282149,9.364405,3.416176,10,
638521425122024267,282160,9.418992,3.406943,10,
638521425122134256,282171,9.474018,3.397636,10,
638521425122244261,282182,9.528581,3.388408,10,
638521425122354372,282194,9.582889,3.379223,10,
638521425122464375,282205,9.637924,3.369915,10,
638521425122574382,282216,9.693237,3.360559,10,
638521425122684370,282227,9.747511,3.35138,10,
638521425122794363,282238,9.80227,3.342118,10,
638521425122904377,282249,9.856926,3.332874,10,
638521425123014368,282260,9.912267,3.323514,10,
638521425123124363,282271,9.966797,3.314291,10,
638521425123244369,282282,10.02106,3.305114,10,
638521425123354372,282293,10.07579,3.295858,10,
638521425123464365,282305,10.13065,3.286578,10,
