time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638521427565419752,526500,-16.47671,-12.35118,20,-1.241604,9.419649,20,-4.543818,-11.64772,20,
638521427565479755,526506,-16.43572,-12.32045,19.95024,-1.238515,9.396214,19.95024,-4.532514,-11.61874,19.95024,
638521427565549771,526514,-16.42072,-12.30921,19.93204,-1.237385,9.387642,19.93204,-4.528379,-11.60814,19.93204,
638521427565668532,526525,-16.40182,-12.29504,19.9091,-1.235961,9.376835,19.9091,-4.523166,-11.59478,19.9091,
638521427565778529,526536,-16.37371,-12.27398,19.87498,-1.233843,9.360768,19.87498,-4.515416,-11.57491,19.87498,
638521427565888530,526547,-16.3464,-12.25351,19.84184,-1.231785,9.345156,19.84184,-4.507885,-11.5556,19.84184,
638521427565998536,526558,-16.31895,-12.23293,19.80852,-1.229717,9.329463,19.80852,-4.500315,-11.5362,19.80852,
638521427566108543,526569,-16.29157,-12.2124,19.77528,-1.227653,9.313807,19.77528,-4.492763,-11.51684,19.77528,
638521427566218534,526580,-16.26392,-12.19167,19.74171,-1.225569,9.297999,19.74171,-4.485138,-11.49729,19.74171,
638521427566328539,526591,-16.23697,-12.17148,19.70901,-1.223539,9.282595,19.70901,-4.477707,-11.47824,19.70901,
638521427566438529,526603,-16.2093,-12.15074,19.67542,-1.221454,9.266778,19.67542,-4.470078,-11.45869,19.67542,
638521427566548529,526614,-16.18187,-12.13017,19.64213,-1.219387,9.251096,19.64213,-4.462513,-11.4393,19.64213,
638521427566668534,526625,-16.15445,-12.10962,19.60884,-1.217321,9.235419,19.60884,-4.454951,-11.41991,19.60884,
638521427566778532,526636,-16.12697,-12.08902,19.57549,-1.21525,9.219708,19.57549,-4.447373,-11.40049,19.57549,
638521427566888537,526647,-16.09935,-12.06831,19.54195,-1.213168,9.203915,19.54195,-4.439754,-11.38095,19.54195,
638521427566998532,526658,-16.07248,-12.04817,19.50934,-1.211144,9.188555,19.50934,-4.432345,-11.36196,19.50934,
638521427567108538,526669,-16.04503,-12.02759,19.47602,-1.209075,9.172862,19.47602,-4.424775,-11.34256,19.47602,
638521427567218678,526680,-16.01712,-12.00667,19.44214,-1.206972,9.156904,19.44214,-4.417078,-11.32282,19.44214,
638521427567328680,526691,-15.99004,-11.98637,19.40927,-1.204931,9.141421,19.40927,-4.409609,-11.30368,19.40927,
638521427567438681,526702,-15.96266,-11.96585,19.37603,-1.202868,9.12577,19.37603,-4.40206,-11.28433,19.37603,
638521427567548677,526714,-15.93504,-11.94514,19.34251,-1.200787,9.10998,19.34251,-4.394443,-11.2648,19.34251,
638521427567658676,526725,-15.90753,-11.92452,19.30912,-1.198714,9.094255,19.30912,-4.386858,-11.24536,19.30912,
638521427567778678,526736,-15.88024,-11.90406,19.27599,-1.196657,9.07865,19.27599,-4.379331,-11.22606,19.27599,
638521427567888677,526747,-15.85264,-11.88337,19.24249,-1.194577,9.062872,19.24249,-4.37172,-11.20655,19.24249,
638521427567998673,526758,-15.82522,-11.86282,19.20921,-1.192511,9.047197,19.20921,-4.364159,-11.18717,19.20921,
638521427568108680,526769,-15.79725,-11.84185,19.17526,-1.190404,9.031206,19.17526,-4.356445,-11.1674,19.17526,
638521427568218674,526780,-15.77051,-11.82181,19.1428,-1.188389,9.015922,19.1428,-4.349072,-11.1485,19.1428,
638521427568328681,526791,-15.74275,-11.801,19.10911,-1.186297,9.000052,19.10911,-4.341417,-11.12887,19.10911,
638521427568438689,526802,-15.71537,-11.78048,19.07587,-1.184234,8.984396,19.07587,-4.333865,-11.10951,19.07587,
638521427568548672,526813,-15.68787,-11.75986,19.04249,-1.182161,8.968675,19.04249,-4.326281,-11.09007,19.04249,
638521427568668801,526825,-15.66074,-11.73953,19.00956,-1.180117,8.953167,19.00956,-4.3188,-11.0709,19.00956,
638521427568768794,526836,-15.63294,-11.71869,18.97582,-1.178022,8.937274,18.97582,-4.311134,-11.05125,18.97582,
638521427568878793,526846,-15.6057,-11.69826,18.94274,-1.175969,8.921696,18.94274,-4.303619,-11.03198,18.94274,
638521427568998803,526859,-15.57835,-11.67776,18.90955,-1.173908,8.906063,18.90955,-4.296078,-11.01265,18.90955,
638521427569108800,526869,-15.54986,-11.65641,18.87497,-1.171762,8.889774,18.87497,-4.288221,-10.99251,18.87497,
638521427569218906,526881,-15.52253,-11.63592,18.84179,-1.169702,8.874147,18.84179,-4.280683,-10.97319,18.84179,
638521427569338907,526892,-15.49464,-11.61501,18.80794,-1.1676,8.858204,18.80794,-4.272993,-10.95347,18.80794,
638521427569448905,526903,-15.46648,-11.59391,18.77376,-1.165479,8.842108,18.77376,-4.265228,-10.93357,18.77376,
638521427569558906,526915,-15.43868,-11.57307,18.74002,-1.163384,8.826214,18.74002,-4.257562,-10.91392,18.74002,
638521427569678914,526926,-15.41068,-11.55207,18.70602,-1.161273,8.810203,18.70602,-4.249838,-10.89412,18.70602,
638521427569788935,526937,-15.3827,-11.5311,18.67206,-1.159165,8.794209,18.67206,-4.242124,-10.87434,18.67206,
638521427569898913,526949,-15.35485,-11.51022,18.63825,-1.157066,8.778284,18.63825,-4.234441,-10.85465,18.63825,
638521427570018913,526960,-15.32656,-11.48902,18.60392,-1.154935,8.762116,18.60392,-4.226642,-10.83466,18.60392,
638521427570128907,526971,-15.29908,-11.46842,18.57056,-1.152864,8.746404,18.57056,-4.219063,-10.81523,18.57056,
638521427570239028,526982,-15.27104,-11.4474,18.53652,-1.150751,8.730372,18.53652,-4.211329,-10.79541,18.53652,
