time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638520715616433026,233504,-31.64019,-6.503567,18.26819,-31.55466,30.11419,18.26819,17.94161,-18.34256,18.26819,
638520715616552817,233516,-31.5812,-6.491442,18.23413,-31.49583,30.05804,18.23413,17.90816,-18.30836,18.23413,
638520715616662815,233527,-31.52192,-6.479257,18.19991,-31.43671,30.00163,18.19991,17.87455,-18.274,18.19991,
638520715616772826,233538,-31.46493,-6.467543,18.167,-31.37988,29.94738,18.167,17.84223,-18.24096,18.167,
638520715616882807,233549,-31.40701,-6.455637,18.13356,-31.32211,29.89225,18.13356,17.80939,-18.20738,18.13356,
638520715616992808,233560,-31.35041,-6.444004,18.10088,-31.26567,29.83839,18.10088,17.77729,-18.17457,18.10088,
638520715617102810,233571,-31.29314,-6.432232,18.06782,-31.20856,29.78388,18.06782,17.74482,-18.14137,18.06782,
638520715617212806,233582,-31.23617,-6.420521,18.03492,-31.15173,29.72965,18.03492,17.71251,-18.10834,18.03492,
638520715617322808,233593,-31.17825,-6.408617,18.00148,-31.09398,29.67453,18.00148,17.67967,-18.07477,18.00148,
638520715617428927,233604,-31.12181,-6.397015,17.96889,-31.03768,29.62081,17.96889,17.64766,-18.04204,17.96889,
638520715617538742,233615,-31.06251,-6.384827,17.93466,-30.97855,29.56438,17.93466,17.61404,-18.00767,17.93466,
638520715617658743,233627,-31.00463,-6.372931,17.90124,-30.92083,29.50929,17.90124,17.58122,-17.97412,17.90124,
638520715617764432,233638,-30.94569,-6.360814,17.86721,-30.86204,29.45319,17.86721,17.54779,-17.93994,17.86721,
638520715617874333,233649,-30.88991,-6.349349,17.835,-30.80641,29.4001,17.835,17.51616,-17.90761,17.835,
638520715617994319,233660,-30.83123,-6.337288,17.80113,-30.74789,29.34426,17.80113,17.48289,-17.87359,17.80113,
638520715618104321,233671,-30.77283,-6.325284,17.76741,-30.68965,29.28867,17.76741,17.44977,-17.83974,17.76741,
638520715618208186,233682,-30.71573,-6.313547,17.73444,-30.6327,29.23432,17.73444,17.41739,-17.80663,17.73444,
638520715618314438,233693,-30.65914,-6.301914,17.70176,-30.57626,29.18046,17.70176,17.3853,-17.77382,17.70176,
638520715618430973,233704,-30.60193,-6.290154,17.66873,-30.51921,29.12601,17.66873,17.35286,-17.74066,17.66873,
638520715618550840,233716,-30.54343,-6.278131,17.63495,-30.46087,29.07033,17.63495,17.31969,-17.70675,17.63495,
638520715618650842,233726,-30.48425,-6.265966,17.60078,-30.40185,29.01401,17.60078,17.28613,-17.67244,17.60078,
638520715618766349,233738,-30.42951,-6.254714,17.56918,-30.34725,28.9619,17.56918,17.25509,-17.6407,17.56918,
