time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638524907694500940,238404,0,5,10,
638524907694560960,238409,-0.05038727,4.933381,10,
638524907694640949,238417,-0.06751913,4.91073,10,
638524907694750941,238428,-0.09220077,4.878097,10,
638524907694860945,238440,-0.1257373,4.833757,10,
638524907694980948,238451,-0.1592075,4.789505,10,
638524907695090949,238462,-0.192966,4.744871,10,
638524907695200955,238473,-0.2266998,4.70027,10,
638524907695310948,238484,-0.2602529,4.655908,10,
638524907695420950,238495,-0.2933952,4.612089,10,
638524907695530950,238506,-0.3270189,4.567633,10,
638524907695640954,238517,-0.3606112,4.523219,10,
638524907695750938,238528,-0.3938811,4.479231,10,
638524907695860958,238540,-0.4274474,4.434852,10,
638524907695970947,238551,-0.4611417,4.390303,10,
638524907696080942,238562,-0.4941754,4.346628,10,
638524907696200948,238573,-0.527575,4.302469,10,
638524907696310950,238584,-0.5625153,4.256273,10,
638524907696420943,238595,-0.5946071,4.213843,10,
638524907696530958,238607,-0.6282316,4.169386,10,
638524907696640951,238617,-0.6628042,4.123676,10,
638524907696750949,238628,-0.6954224,4.08055,10,
638524907696860961,238639,-0.7286295,4.036645,10,
638524907696970945,238651,-0.7622234,3.992229,10,
638524907697080941,238662,-0.7955448,3.948174,10,
638524907697200952,238673,-0.8291582,3.903732,10,
638524907697310950,238684,-0.8639263,3.857763,10,
638524907697420942,238695,-0.8961351,3.815179,10,
638524907697530942,238706,-0.9297361,3.770753,10,
638524907697640950,238717,-0.9631945,3.726516,10,
638524907697750947,238728,-0.9965205,3.682454,10,
638524907697860948,238739,-1.030077,3.638088,10,
638524907697970944,238750,-1.06367,3.593673,10,
638524907698090944,238762,-1.096966,3.549651,10,
638524907698200947,238773,-1.131095,3.504528,10,
638524907698310949,238784,-1.165903,3.458507,10,
638524907698430942,238796,-1.199645,3.413894,10,
638524907698540936,238807,-1.233955,3.368532,10,
638524907698650941,238818,-1.267437,3.324264,10,
638524907698760945,238830,-1.301667,3.279007,10,
638524907698870939,238841,-1.335599,3.234144,10,
638524907698990945,238852,-1.369213,3.189701,10,
638524907699100960,238863,-1.403609,3.144225,10,
638524907699210949,238875,-1.437748,3.099088,10,
638524907699330945,238886,-1.471646,3.05427,10,
638524907699440951,238897,-1.50556,3.00943,10,
638524907699560950,238909,-1.539672,2.96433,10,
638524907699670951,238920,-1.574322,2.918518,10,
638524907699780941,238931,-1.607971,2.874028,10,
638524907699890950,238942,-1.641738,2.829384,10,
638524907700000949,238954,-1.675703,2.784477,10,
638524907700110943,238965,-1.709674,2.739561,10,
638524907700230946,238976,-1.742809,2.695753,10,
638524907700340953,238987,-1.776504,2.651203,10,
638524907700450949,238998,-1.809706,2.607305,10,
638524907700560953,239009,-1.843189,2.563035,10,
638524907700670953,239020,-1.87713,2.518161,10,
638524907700780944,239031,-1.909965,2.474748,10,
638524907700890943,239042,-1.943623,2.430248,10,
638524907701010945,239054,-1.977194,2.385862,10,
638524907701110941,239065,-2.011778,2.340136,10,
638524907701230966,239076,-2.044238,2.29722,10,
638524907701340965,239087,-2.079118,2.251104,10,
638524907701450954,239098,-2.111557,2.208214,10,
638524907701560947,239109,-2.145071,2.163904,10,
638524907701670948,239120,-2.178334,2.119926,10,
638524907701780946,239131,-2.211673,2.075847,10,
638524907701890956,239142,-2.245072,2.031687,10,
638524907702010950,239154,-2.278846,1.987034,10,
638524907702110950,239165,-2.313328,1.941444,10,
638524907702220945,239176,-2.345967,1.89829,10,
638524907702330942,239187,-2.379375,1.85412,10,
638524907702450955,239198,-2.412613,1.810174,10,
638524907702560947,239209,-2.446229,1.765729,10,
638524907702670939,239220,-2.479681,1.7215,10,
638524907702780956,239231,-2.513136,1.677268,10,
638524907702890957,239242,-2.547078,1.632391,10,
638524907703000945,239253,-2.580305,1.588461,10,
638524907703110958,239264,-2.613699,1.544309,10,
638524907703220972,239276,-2.647049,1.500216,10,
638524907703330949,239287,-2.680904,1.455454,10,
638524907703450950,239298,-2.714175,1.411466,10,
638524907703560947,239309,-2.747729,1.367103,10,
638524907703670940,239320,-2.781242,1.322793,10,
638524907703780951,239331,-2.814649,1.278624,10,
638524907703890951,239342,-2.848207,1.234256,10,
638524907704000951,239353,-2.881748,1.189909,10,
638524907704110942,239364,-2.915448,1.145353,10,
638524907704220959,239376,-2.948472,1.10169,10,
638524907704330950,239387,-2.982434,1.056789,10,
638524907704440937,239398,-3.015621,1.01291,10,
638524907704560942,239409,-3.049,0.9687786,10,
638524907704670946,239420,-3.082994,0.9238334,10,
638524907704780946,239431,-3.116311,0.8797827,10,
638524907704890961,239442,-3.149581,0.8357944,10,
638524907705000944,239453,-3.183274,0.7912483,10,
638524907705110938,239464,-3.216564,0.7472334,10,
638524907705220961,239476,-3.250067,0.7029381,10,
638524907705330942,239487,-3.284012,0.6580577,10,
638524907705450950,239498,-3.317242,0.6141233,10,
638524907705560954,239509,-3.351126,0.5693235,10,
638524907705670949,239520,-3.384308,0.5254521,10,
638524907705780949,239531,-3.41771,0.4812899,10,
638524907705890952,239542,-3.450916,0.4373865,10,
638524907706000943,239553,-3.484696,0.3927255,10,
638524907706110943,239564,-3.517893,0.348834,10,
638524907706220962,239575,-3.551553,0.3043313,10,
638524907706330961,239586,-3.585231,0.2598042,10,
638524907706440942,239598,-3.618592,0.2156959,10,
638524907706550949,239609,-3.65212,0.1713662,10,
638524907706670949,239620,-3.68567,0.127008,10,
638524907706780949,239631,-3.719115,0.08278894,10,
638524907706890949,239642,-3.75292,0.03809452,10,
638524907707000952,239653,-3.786034,-0.005687237,10,
638524907707110947,239664,-3.819353,-0.04974031,10,
