time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638549096635530708,556354,43792,-0.06970215,0.1671906,0.9834442,-0.1035004,0.1610565,0.9814911,0.1122442,-0.04915398,0.9924642,
638549096635625832,556364,43793,-0.06947327,0.1668396,0.9835205,-0.1044769,0.1570282,0.9820404,0.1126964,-0.0489184,0.9924245,
638549096635705821,556372,43794,-0.06469727,0.1643066,0.9842682,-0.09762573,0.1575623,0.982666,0.1133556,-0.04878198,0.9923562,
638549096635775834,556379,43795,-0.06324768,0.15979,0.9851074,-0.1082001,0.1373901,0.9845734,0.113874,-0.04850633,0.9923103,
638549096635855831,556387,43795,-0.07267761,0.197876,0.9775238,-0.1193542,0.1765442,0.9770203,0.113874,-0.04850633,0.9923103,
638549096635945823,556396,43796,-0.08473206,0.2235718,0.970993,-0.1178589,0.2191467,0.9685364,0.1147147,-0.04822535,0.9922272,
638549096636035833,556405,43797,-0.09944153,0.2457123,0.9642181,-0.1194611,0.2375488,0.9639893,0.1154815,-0.04779442,0.9921591,
638549096636115829,556413,43798,-0.1040497,0.2718048,0.9566956,-0.1219177,0.2776031,0.9529114,0.116019,-0.04699688,0.9921345,
638549096636195821,556421,43798,-0.105072,0.2853546,0.9526367,-0.09759521,0.3057404,0.9470825,0.116019,-0.04699688,0.9921345,
638549096636285821,556430,43799,-0.1078186,0.2960815,0.9490509,-0.0947113,0.3173065,0.943573,0.1168266,-0.0464863,0.9920638,
638549096636365832,556438,43800,-0.107254,0.3075867,0.9454498,-0.09909058,0.3130493,0.9445496,0.1176274,-0.04583265,0.9919996,
638549096636445829,556446,43801,-0.1052246,0.3056641,0.9463043,-0.1116791,0.3206635,0.9405823,0.1184422,-0.0452283,0.9919304,
638549096636525824,556454,43802,-0.1068878,0.2957764,0.9492493,-0.1025696,0.3198547,0.9418793,0.1192383,-0.04451608,0.9918672,
638549096636605828,556462,43802,-0.1057281,0.3121033,0.9441376,-0.08776855,0.3059082,0.947998,0.1192383,-0.04451608,0.9918672,
638549096636705831,556472,43803,-0.1060486,0.3065033,0.9459381,-0.09757996,0.3196106,0.9425049,0.1197051,-0.04385122,0.9918406,
638549096636775836,556479,43804,-0.106369,0.3009338,0.9476776,-0.1008911,0.3160553,0.9433441,0.1203965,-0.04315926,0.9917873,
638549096636855827,556487,43804,-0.1088409,0.302124,0.9470215,-0.08280945,0.3222046,0.9430389,0.1203965,-0.04315926,0.9917873,
638549096636950927,556496,43805,-0.1082306,0.3020325,0.9471283,-0.1228485,0.315155,0.94104,0.1211945,-0.04243378,0.9917214,
638549096637030933,556504,43806,-0.1097107,0.3033752,0.9465179,-0.1102142,0.3197174,0.9410706,0.1217285,-0.04194561,0.9916767,
638549096637116204,556513,43807,-0.1110077,0.3033142,0.9463959,-0.1040802,0.3097382,0.9450989,0.1219712,-0.04162046,0.9916606,
638549096637196070,556521,43808,-0.111557,0.3033142,0.9463196,-0.1159821,0.3138275,0.9423523,0.1221969,-0.04108519,0.9916552,
638549096637276070,556529,43808,-0.1123352,0.3034668,0.9461823,-0.1042786,0.3165283,0.9428253,0.1221969,-0.04108519,0.9916552,
638549096637366068,556538,43809,-0.1121063,0.302948,0.9463806,-0.1082458,0.3196564,0.9413147,0.1224628,-0.04069898,0.9916382,
638549096637456066,556547,43810,-0.1118774,0.3024292,0.9465637,-0.1078186,0.3165741,0.9424133,0.1227777,-0.04004823,0.9916258,
638549096637526068,556554,43811,-0.1113739,0.3025665,0.9465942,-0.1104736,0.3131409,0.9432526,0.123325,-0.03934323,0.9915861,
638549096637616058,556563,43811,-0.111908,0.3027954,0.9464569,-0.1117401,0.3161926,0.9420776,0.123325,-0.03934323,0.9915861,
638549096637706063,556572,43812,-0.1115265,0.3022003,0.9466858,-0.112854,0.3125916,0.9431458,0.123919,-0.03906859,0.9915229,
638549096637776064,556579,43813,-0.1111298,0.3021088,0.9467621,-0.1139526,0.3089447,0.9442139,0.1242761,-0.03825798,0.9915099,
638549096637856321,556587,43813,-0.1116486,0.3020782,0.9467163,-0.1143799,0.3088379,0.9441986,0.1242761,-0.03825798,0.9915099,
638549096637946315,556596,43814,-0.1126862,0.3020172,0.9466095,-0.1148071,0.3092651,0.9440002,0.1249769,-0.03791251,0.9914351,
638549096638036324,556605,43815,-0.1134186,0.3026123,0.9463348,-0.1154175,0.3096466,0.9438171,0.1255701,-0.03760071,0.9913719,
638549096638106326,556612,43816,-0.1140594,0.3005219,0.9469299,-0.1158905,0.3103943,0.943512,0.1258295,-0.03733252,0.9913492,
638549096638206331,556622,43817,-0.1142426,0.3009949,0.9467468,-0.1164551,0.309433,0.9437561,0.1264555,-0.03686187,0.9912872,
638549096638276319,556629,43817,-0.1142731,0.2962189,0.9482422,-0.1163025,0.3088684,0.9439545,0.1264555,-0.03686187,0.9912872,
638549096638366325,556638,43818,-0.1142578,0.2969971,0.9480133,-0.116333,0.308197,0.9441681,0.1267841,-0.0362501,0.9912677,
638549096638446321,556646,43819,-0.1143036,0.2955017,0.9484711,-0.1163025,0.3061371,0.9448395,0.1271184,-0.03621672,0.9912261,
638549096638526321,556654,43820,-0.1142883,0.2957611,0.9483948,-0.1168823,0.3017883,0.946167,0.1279619,-0.03570451,0.9911362,
638549096638606316,556662,43820,-0.1152954,0.2955933,0.9483185,-0.118866,0.3010559,0.946167,0.1279619,-0.03570451,0.9911362,
638549096638696326,556671,43821,-0.1170044,0.2965393,0.9478149,-0.1190948,0.3018951,0.9458618,0.1282151,-0.03536655,0.9911156,
638549096638776324,556679,43822,-0.1440887,0.296936,0.9439545,-0.1647644,0.3109894,0.9360046,0.128625,-0.0347987,0.9910825,
638549096638846549,556686,43822,-0.182663,0.329834,0.926178,-0.1482391,0.3307343,0.9319916,0.128625,-0.0347987,0.9910825,
638549096638946539,556696,43823,-0.1829987,0.3203735,0.9294434,-0.2114105,0.3578033,0.9095459,0.1290065,-0.03417899,0.9910545,
638549096639026546,556704,43824,-0.2216187,0.3365173,0.9152069,-0.1569214,0.3719788,0.9148712,0.1291632,-0.03341703,0.9910601,
638549096639106554,556712,43825,-0.2278137,0.3601837,0.9046173,-0.1243896,0.3659668,0.9222717,0.1289912,-0.03257877,0.9911104,
638549096639186552,556720,43825,-0.2329559,0.3713531,0.8987732,-0.1165466,0.3909302,0.9129944,0.1289912,-0.03257877,0.9911104,
