time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638524908416637058,310616,22857,-0.07493591,0.1982574,0.9772644,-0.06184387,0.1916199,0.9795074,0.06986955,0.1180149,0.9905507,
638524908416717052,310624,22858,-0.07637024,0.1964722,0.9775238,-0.05613708,0.1863556,0.9808655,0.06976445,0.1180592,0.9905528,
638524908416797053,310632,22859,-0.07368469,0.194931,0.9780426,-0.05415344,0.1869507,0.9808655,0.06975755,0.1170758,0.99067,
638524908416887053,310641,22859,-0.07116699,0.1856995,0.980011,-0.05447388,0.1893463,0.9803925,0.06975755,0.1170758,0.99067,
638524908416957057,310648,22860,-0.07118225,0.1870728,0.9797516,-0.05093384,0.1915131,0.9801636,0.0696409,0.1156658,0.9908439,
638524908417047054,310657,22861,-0.0771637,0.1867218,0.9793701,-0.05471802,0.1825714,0.9816589,0.07008275,0.1144253,0.9909567,
638524908417137062,310666,22862,-0.085495,0.1896973,0.9781036,-0.0586853,0.1783142,0.9822083,0.07040776,0.1130993,0.9910859,
638524908417217048,310674,22862,-0.09460449,0.1912537,0.9769592,-0.05615234,0.1871185,0.9807281,0.07040776,0.1130993,0.9910859,
638524908417307047,310683,22863,-0.08525085,0.1939087,0.9772949,-0.06134033,0.1858368,0.9806519,0.07069501,0.1121683,0.9911713,
638524908417387066,310691,22864,-0.0831604,0.1990814,0.9764404,-0.05853271,0.1837158,0.9812317,0.07079446,0.111494,0.9912403,
638524908417467053,310699,22865,-0.08036804,0.1906433,0.9783478,-0.05157471,0.1929321,0.9798431,0.07094214,0.1112181,0.9912607,
638524908417557050,310708,22866,-0.08996582,0.1977539,0.9761047,-0.06462097,0.1839905,0.9807892,0.0709895,0.1108304,0.9913007,
638524908417627063,310715,22866,-0.08267212,0.20755,0.9747162,-0.06369019,0.1858826,0.9804993,0.0709895,0.1108304,0.9913007,
638524908417717058,310724,22867,-0.08302307,0.2095795,0.9742584,-0.0629425,0.1845703,0.9807892,0.07141844,0.1105531,0.9913009,
638524908417787051,310731,22868,-0.07907104,0.2098083,0.9745331,-0.06202698,0.1837769,0.9810028,0.07181349,0.1102588,0.9913051,
638524908417887045,310741,22868,-0.0750885,0.2099762,0.9748077,-0.06137085,0.1828918,0.9812012,0.07181349,0.1102588,0.9913051,
638524908417957047,310748,22869,-0.07769775,0.2084198,0.9749298,-0.06071472,0.1828766,0.9812469,0.07226374,0.1097454,0.9913294,
638524908418047053,310757,22870,-0.09037781,0.202652,0.9750671,-0.05987549,0.183197,0.9812469,0.07254411,0.1091418,0.9913755,
638524908418127061,310765,22871,-0.07624817,0.1988983,0.9770355,-0.05905151,0.1835022,0.9812317,0.07251806,0.1086241,0.9914343,
638524908418207045,310773,22871,-0.05569458,0.2051086,0.9771423,-0.05944824,0.1847076,0.9809875,0.07251806,0.1086241,0.9914343,
638524908418297065,310782,22872,-0.07783508,0.204071,0.9758453,-0.05989075,0.1858215,0.9807434,0.07261729,0.1081822,0.9914753,
638524908418387052,310791,22873,-0.07754517,0.2011108,0.9764862,-0.06001282,0.1888275,0.9801636,0.07251789,0.1079924,0.9915033,
638524908418457060,310798,22874,-0.07714844,0.2029572,0.9761353,-0.06022644,0.189621,0.9799957,0.07227773,0.1080018,0.9915198,
638524908418547045,310807,22874,-0.08631897,0.2024994,0.9754639,-0.06889343,0.1799927,0.9812469,0.07227773,0.1080018,0.9915198,
638524908418637052,310816,22875,-0.1248474,0.1870117,0.9743805,-0.1334686,0.1534576,0.9790955,0.07165454,0.1078029,0.9915867,
638524908418717046,310824,22876,-0.2203522,0.1450348,0.9645691,-0.190979,0.1202545,0.9741974,0.07126851,0.1075274,0.9916444,
638524908418797056,310832,22877,-0.2834625,0.1132355,0.9522552,-0.2486115,0.1036377,0.963028,0.07066412,0.1066974,0.9917773,
638524908418877053,310840,22877,-0.3585968,0.07012939,0.9308472,-0.3111115,0.07621765,0.9472961,0.07066412,0.1066974,0.9917773,
638524908418957052,310848,22878,-0.3664703,0.06550598,0.9281158,-0.371048,0.05990601,0.9266663,0.07009298,0.105301,0.9919671,
638524908419057049,310858,22879,-0.3945313,0.04692078,0.9176788,-0.3919525,0.05680847,0.9182129,0.07006649,0.1037947,0.9921277,
638524908419127079,310865,22880,-0.3779755,0.0372467,0.9250488,-0.3804169,0.05712891,0.9230347,0.07050896,0.1030257,0.9921765,
638524908419207046,310873,22880,-0.3890076,0.04139709,0.9202881,-0.3884888,0.05822754,0.9196014,0.07050896,0.1030257,0.9921765,
638524908419297051,310882,22881,-0.3876343,0.04690552,0.9206085,-0.3936768,0.04972839,0.9178925,0.07063686,0.1029734,0.9921728,
638524908419377073,310890,22882,-0.3922424,0.05474854,0.9182129,-0.3822021,0.04902649,0.9227753,0.07023248,0.1036579,0.9921303,
638524908419457064,310898,22883,-0.3831329,0.04919434,0.9223785,-0.3804474,0.04241943,0.9238129,0.06924708,0.1034937,0.9922166,
638524908419557053,310908,22884,-0.3861237,0.04389954,0.9213867,-0.4069824,0.04498291,0.912323,0.06621648,0.1028092,0.9924946,
638524908419627068,310915,22884,-0.3769226,0.05670166,0.9244995,-0.3880768,0.03291321,0.9210358,0.06621648,0.1028092,0.9924946,
638524908419717060,310924,22885,-0.3741302,0.03433228,0.9267273,-0.378479,0.02163696,0.925354,0.06279635,0.1019322,0.9928073,
638524908419817057,310934,22886,-0.3833313,0.06044006,0.9216156,-0.3900299,0.04637146,0.9196167,0.05829405,0.1000843,0.9932698,
638524908419877053,310940,22886,-0.3798981,0.06451416,0.9227753,-0.3869629,0.03926086,0.9212494,0.05829405,0.1000843,0.9932698,
638524908419977053,310950,22887,-0.3828735,0.06222534,0.9216919,-0.3831787,0.03033447,0.923172,0.05327151,0.09811851,0.9937479,
638524908420057051,310958,22888,-0.3768921,0.05239868,0.9247589,-0.3856201,0.03947449,0.9217987,0.04843368,0.09590003,0.9942119,
638524908420197071,310972,22889,-0.3731384,0.05317688,0.926239,-0.3943329,0.0291748,0.9184875,0.04277309,0.09356729,0.9946938,
638524908420267065,310979,22890,-0.3731384,0.05317688,0.926239,-0.3943329,0.0291748,0.9184875,0.03688144,0.09171663,0.9951019,
638524908420337059,310986,22891,-0.3744202,0.0557251,0.9255676,-0.3908081,0.03330994,0.9198608,0.03049292,0.0898478,0.9954886,
638524908420407260,310993,22891,-0.3731995,0.04170227,0.9268036,-0.3872986,0.03779602,0.9211731,0.03049292,0.0898478,0.9954886,
638524908420477205,311000,22892,-0.3718262,0.05604553,0.92659,-0.3855133,0.03768921,0.9219208,0.02244869,0.08808468,0.99586,
638524908420547204,311007,22893,-0.3746643,0.05551147,0.9254913,-0.3837738,0.03775024,0.9226532,0.0133469,0.08678783,0.9961374,
638524908420627196,311015,22893,-0.3685303,0.06640625,0.9272308,-0.3868561,0.05314636,0.9205933,0.0133469,0.08678783,0.9961374,
