time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203559987731143,540602,43356,-0.1872864,0.1986694,0.9619904,-0.2061768,0.212265,0.9552002,0.05533288,0.2364305,0.9700716
638203559987811154,540610,43357,-0.1808624,0.2087402,0.9610901,-0.2056427,0.2108307,0.9556274,0.04846407,0.2397725,0.9696187
638203559987901154,540619,43358,-0.1811676,0.2068329,0.961441,-0.1932373,0.2145233,0.9573975,0.04135086,0.2434529,0.9690309
638203559987981153,540627,43359,-0.1784058,0.2049866,0.9623566,-0.1925659,0.2121887,0.9580536,0.03311457,0.248326,0.9681103
638203559988061149,540635,43359,-0.1847382,0.2046661,0.9612274,-0.200943,0.2140503,0.9559174,0.03311457,0.248326,0.9681103
638203559988151156,540644,43360,-0.1815186,0.2010498,0.9626007,-0.1967163,0.2066498,0.9584198,0.02463675,0.2534258,0.967041
638203559988231150,540652,43361,-0.1785431,0.1985779,0.9636688,-0.1927338,0.2090759,0.9587097,0.01505798,0.258861,0.9657972
638203559988311146,540660,43362,-0.1767426,0.1963959,0.964447,-0.1904297,0.2072144,0.9595795,0.004688546,0.2646893,0.9643223
638203559988401186,540669,43362,-0.1785889,0.1982269,0.9637451,-0.1980438,0.2042084,0.9586792,0.004688546,0.2646893,0.9643223
638203559988481186,540677,43363,-0.1834106,0.2107239,0.9601746,-0.2066803,0.2219543,0.9528961,-0.005764733,0.2707039,0.9626454
638203559988561188,540685,43364,-0.1857147,0.21492,0.9588013,-0.1996155,0.2207642,0.9546661,-0.01668859,0.27698,0.9607307
638203559988641197,540693,43364,-0.1826172,0.2091675,0.9606628,-0.189209,0.2235565,0.956131,-0.01668859,0.27698,0.9607307
638203559988731267,540702,43365,-0.1771088,0.2173309,0.9598846,-0.1832886,0.2316284,0.955368,-0.02836532,0.2835904,0.9585259
638203559988811263,540710,43366,-0.1760559,0.2162933,0.9603119,-0.1845856,0.2332764,0.9547272,-0.04050564,0.2900809,0.9561445
638203559988901266,540719,43367,-0.1708832,0.2169952,0.9610901,-0.1785126,0.2391357,0.954422,-0.05297762,0.2968604,0.9534502
638203559988981268,540727,43368,-0.1637878,0.2123413,0.9633636,-0.1797485,0.226944,0.9571686,-0.06588175,0.3038217,0.9504483
638203559989061338,540735,43368,-0.1535339,0.2118835,0.9651489,-0.1655579,0.2303314,0.9589081,-0.06588175,0.3038217,0.9504483
638203559989151341,540744,43369,-0.1516876,0.2103729,0.9657745,-0.1577454,0.2247467,0.9615479,-0.0784049,0.3109339,0.9471921
638203559989231337,540752,43370,-0.1486053,0.1990204,0.9686584,-0.1537628,0.232254,0.9604187,-0.09140051,0.3181263,0.9436321
638203559989311341,540760,43371,-0.1428986,0.2076263,0.9677124,-0.1445618,0.2228394,0.9640656,-0.1037953,0.3251849,0.9399369
638203559989406456,540769,43371,-0.1358185,0.202774,0.9697418,-0.1459045,0.2242279,0.9635468,-0.1037953,0.3251849,0.9399369
