time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203566374611396,1179290,100862,-0.02534485,0.1544189,0.9876709,-0.01802063,0.1479034,0.9888306,0.06949004,0.1602926,0.9846205
638203566374686945,1179297,100863,-0.02514648,0.1546326,0.9876404,-0.01783752,0.1478424,0.9888458,0.0693977,0.1605159,0.9845906
638203566374772025,1179306,100864,-0.02481079,0.1544952,0.9876709,-0.01773071,0.1478577,0.9888458,0.06959633,0.1608653,0.9845195
638203566374852018,1179314,100864,-0.02471924,0.1546936,0.9876404,-0.01789856,0.1478271,0.9888458,0.06959633,0.1608653,0.9845195
638203566374942025,1179323,100865,-0.02497864,0.154953,0.9875946,-0.01829529,0.1478424,0.9888306,0.06996775,0.1609585,0.984478
638203566375022038,1179331,100866,-0.02612305,0.1549683,0.9875641,-0.01791382,0.1478271,0.9888458,0.0701949,0.1612713,0.9844106
638203566375107120,1179339,100867,-0.02655029,0.1549835,0.9875488,-0.01782227,0.1472626,0.9889221,0.07037275,0.1617118,0.9843256
638203566375187120,1179347,100867,-0.02581787,0.154953,0.9875793,-0.01800537,0.1468811,0.9889832,0.07037275,0.1617118,0.9843256
638203566375277121,1179356,100868,-0.02664185,0.155304,0.9875031,-0.01889038,0.1467133,0.9889832,0.07046635,0.1618782,0.9842916
638203566375357136,1179364,100869,-0.02667236,0.1546631,0.9875946,-0.01889038,0.1467285,0.9889832,0.07085846,0.1621848,0.9842129
638203566375442219,1179373,100870,-0.02677917,0.1547699,0.9875793,-0.02003479,0.1466675,0.9889679,0.07124407,0.1624874,0.9841352
638203566375522222,1179381,100870,-0.02590942,0.1546478,0.9876251,-0.02101135,0.1465454,0.9889679,0.07124407,0.1624874,0.9841352
638203566375602217,1179389,100871,-0.02590942,0.1552887,0.9875183,-0.02076721,0.1460571,0.9890442,0.07169637,0.162684,0.9840699
638203566375692251,1179398,100872,-0.02557373,0.1561279,0.9873962,-0.02122498,0.1461487,0.9890289,0.07187986,0.1628878,0.9840228
638203566375777741,1179406,100873,-0.02555847,0.1560669,0.9874115,-0.0211792,0.14505,0.9891968,0.07214411,0.1631476,0.9839604
638203566375857746,1179414,100873,-0.02474976,0.1559296,0.987442,-0.0211792,0.1447601,0.9892273,0.07214411,0.1631476,0.9839604
638203566375937742,1179422,100874,-0.02542114,0.155777,0.9874573,-0.02175903,0.1447296,0.9892273,0.0724389,0.1634232,0.983893
