time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203556927604569,234589,15803,0.002655029,0.1208191,0.9926605,-0.00340271,0.1077271,0.9941711,-0.003477124,0.3071195,0.9516646
638203556927684572,234597,15803,0.002288818,0.1209259,0.9926453,-0.004119873,0.1077576,0.9941559,-0.003477124,0.3071195,0.9516646
638203556927764567,234605,15804,0.002044678,0.1211548,0.99263,-0.005355835,0.1086884,0.9940491,-0.003499503,0.3083622,0.9512626
638203556927854599,234614,15805,0.001785278,0.1213531,0.9925995,-0.006454468,0.109787,0.993927,-0.003614457,0.3097771,0.9508023
638203556927934644,234622,15806,0.001983643,0.1212921,0.9925995,-0.006225586,0.1110535,0.9937897,-0.003781154,0.3117957,0.9501416
638203556928014637,234630,15806,0.002243042,0.1210632,0.99263,-0.005996704,0.1122894,0.9936523,-0.003781154,0.3117957,0.9501416
638203556928104637,234639,15807,0.00227356,0.122345,0.9924774,-0.006652832,0.1130371,0.9935608,-0.004219631,0.3141181,0.9493746
638203556928184673,234647,15808,0.001235962,0.1243896,0.992218,-0.006347656,0.1121521,0.9936676,-0.004679474,0.3168168,0.9484752
638203556928264675,234655,15809,0.001754761,0.1223297,0.9924774,-0.009109497,0.1105957,0.9938202,-0.005186269,0.3196199,0.9475316
638203556928354679,234664,15809,0.001739502,0.1209412,0.9926453,-0.009475708,0.1100464,0.993866,-0.005186269,0.3196199,0.9475316
638203556928434674,234672,15810,0.001724243,0.1207886,0.9926758,-0.009780884,0.1109924,0.9937592,-0.005929196,0.3226228,0.9465091
638203556928514713,234680,15811,0.00100708,0.1273499,0.9918518,-0.007522583,0.1330109,0.9910736,-0.006589744,0.3265868,0.9451442
638203556928594715,234688,15812,-0.008834839,0.1577911,0.9874268,-0.01286316,0.1579132,0.9873657,-0.007782765,0.3311358,0.943551
638203556928684717,234697,15812,-0.003890991,0.1706696,0.9853058,-0.008285522,0.1674957,0.9858246,-0.007782765,0.3311358,0.943551
638203556928764718,234705,15813,-0.003692627,0.1816406,0.9833527,-0.01580811,0.1729279,0.9848022,-0.008901638,0.3370611,0.9414407
638203556928854712,234714,15814,-0.004302979,0.1755676,0.9844513,-0.006362915,0.176651,0.9842377,-0.01023851,0.3433398,0.9391555
638203556928934716,234722,15815,-0.004699707,0.1862793,0.9824829,-0.001953125,0.1854248,0.9826508,-0.0122184,0.3502356,0.936582
638203556929014713,234730,15815,-0.008331299,0.1855316,0.9825897,-0.007324219,0.1878662,0.9821625,-0.0122184,0.3502356,0.936582
638203556929104717,234739,15816,-0.008071899,0.1869049,0.9823303,-0.00843811,0.1849213,0.9827118,-0.01409383,0.3566362,0.934137
638203556929186219,234747,15817,-0.003356934,0.1920471,0.981369,-0.005050659,0.1852417,0.982666,-0.01601275,0.3629076,0.9316875
638203556929266252,234755,15818,-0.00881958,0.1974792,0.9802551,-0.009902954,0.1778259,0.9840088,-0.01784516,0.3687711,0.9293489
638203556929346253,234763,15818,-0.0004425049,0.1881256,0.982132,-0.004714966,0.1833496,0.9830322,-0.01784516,0.3687711,0.9293489
638203556929436250,234772,15819,-0.00604248,0.192215,0.9813232,0.0003967285,0.1804199,0.9835815,-0.01965581,0.3746978,0.9269387
638203556929512850,234780,15820,-0.01751709,0.1933594,0.980957,-0.00743103,0.1819916,0.9832611,-0.02165921,0.3805514,0.9245061
638203556929602832,234789,15821,-0.01152039,0.1890259,0.9818878,-0.003372192,0.1782532,0.983963,-0.02371606,0.3867868,0.9218642
638203556929682816,234797,15821,-0.005996704,0.1846619,0.9827728,-0.00378418,0.1776428,0.9840851,-0.02371606,0.3867868,0.9218642
638203556929762824,234805,15822,-0.006744385,0.1829071,0.9830933,-0.000289917,0.1755371,0.9844666,-0.0254957,0.3926475,0.9193356
638203556929852893,234814,15823,-0.007339478,0.1766663,0.9842377,-0.004882813,0.1786346,0.9838867,-0.02761161,0.3987791,0.9166312
638203556929932857,234822,15824,0.003967285,0.1778259,0.9840393,-0.003616333,0.1779785,0.984024,-0.02969189,0.4048803,0.9138875
638203556930012858,234830,15824,0.001785278,0.1779175,0.9840393,0.004074097,0.1675415,0.9858551,-0.02969189,0.4048803,0.9138875
638203556930102860,234839,15825,0.003555298,0.1780396,0.9840088,-0.001831055,0.1731415,0.9848785,-0.03188875,0.410911,0.9111176
638203556930183386,234847,15826,0.003356934,0.1772003,0.9841614,0.001617432,0.1740723,0.984726,-0.03402589,0.4175361,0.9080231
638203556930263418,234855,15827,0.003143311,0.1763763,0.984314,0.005081177,0.1739044,0.9847412,-0.03640153,0.4239987,0.9049309
638203556930353718,234864,15827,0.003311157,0.1737823,0.9847717,0.004135132,0.1720123,0.9850769,-0.03640153,0.4239987,0.9049309
638203556930433716,234872,15828,0.003448486,0.1712952,0.985199,0.004241943,0.1699677,0.9854279,-0.0388101,0.4309067,0.9015616
638203556930513715,234880,15829,0.003341675,0.1711884,0.9852295,0.004867554,0.1701355,0.9853973,-0.04140755,0.4377659,0.898135
638203556930603717,234889,15830,0.003234863,0.171051,0.9852448,0.002441406,0.1649475,0.9862976,-0.04404348,0.4447162,0.894588
638203556930683715,234897,15830,0.005584717,0.1405334,0.9900513,0.00592041,0.1660767,0.986084,-0.04404348,0.4447162,0.894588
638203556930763716,234905,15831,0.01040649,0.1388702,0.9902496,0.001861572,0.1555939,0.9878082,-0.04691235,0.4516403,0.8909659
638203556930853879,234914,15832,0.01255798,0.1358795,0.9906311,0.005172729,0.1544495,0.9879761,-0.04988594,0.4585475,0.8872686
